,Comentarios,Depresivo,TweetPre,Idioma
154,menos mal que no voy a ver a los cigarrillos sexosos nadie me va a sacar de la depresión a la q voy a entrar después de que suene touch,1,menos mal voy ver cigarrillos sexosos nadie va sacar depresion q voy entrar despues suene touch,es
170,"Odio tener ataques de ansiedad cuando otros tienen un punto más que yo en las evaluaciones, no lo soporto.",1,odio tener ataques ansiedad punto ma evaluaciones soporto,es
174,"xd he estado muy jodido de la ansiedad, nada mas me muerdo seguido, lo único bueno es que ya viene dream por que nada más he estado: trabajo gym y mi cama.",1,xd jodido ansiedad ma muerdo seguido unico bueno viene dream ma trabajo gym cama,es
176,me puedo agarrar una depresión machaza https://t.co/PnZecNas39,1,puedo agarrar depresion machaza,es
178,@FoscoConde A más de uno le daba yo una depresión con ataques de ansiedad como los que tenía yo hace años luego de violencia psicológica para que tenga pelotas a decirme que era mentira por ducharme... Que osado es hablar cuando no se sabe de qué.,1,ma daba depresion ataques ansiedad tenia hace ano luego violencia psicologica pelota decirme mentira ducharme osado hablar sabe,es
182,De lo ansiosa que soy ya estoy entrando en depresión por La :(,1,ansiosa entrando depresion,es
185,no diosito por qué me tenías que dar tanta ansiedad hoy 🫠,1,diosito tenia dar tanta ansiedad hoy,es
188,@juanaojuanita X2 dejé de tomar café 1 semana pero tomé un latte y soy un saco de ansiedad 🤮,1,x deje tomar cafe semana tome latte saco ansiedad,es
189,"Hoy me levante con una ansiedad horrible Mk, que sensación tan fea.",1,hoy levante ansiedad horrible mk sensacion tan fea,es
193,"Tan inseguro y tan insuficiente, que sobre pienso todo y al mínimo cambio de conducta, empiezo a creer que se cansan de mí, o se aburren o hartan. Termino sintiéndome desechable, al punto que siento que decepcione a la persona o le fallé.

Puta ansiedad...
Putas inseguridades...",1,tan inseguro tan insuficiente pienso minimo cambio conducta empiezo creer cansan aburren hartan termino sintiendome desechable punto siento decepcione persona falle puta ansiedad putas inseguridades,es
195,"Bueno, la ansiedad me come. Último día de mi vida sola",1,bueno ansiedad come ultimo dia vida sola,es
198,aunk sinceramente si m siento mejor después d no fumar en un ratote jajsjakajaja pero igual q estresada y q ansiosa andO,1,aunk sinceramente si m siento mejor despues d fumar ratote jajsjakajaja igual q estresada q ansiosa ando,es
201,"Es real cuando digo que no puedo más, la ansiedad me está comiendo viva.",1,real digo puedo ma ansiedad comiendo viva,es
202,Estoy condenado a la depresión,1,condenado depresion,es
207,Brother estoy dem ansiosa y estresada😩😩😩,1,brother dem ansiosa estresada,es
213,@Silvia33domin No me extraña. Yo es oírla y se me cierra el estómago y empiezo como con ansiedad,1,extrana oirla cierra estomago empiezo ansiedad,es
228,@karlarboledas Loq yo tengo desde hace más de 5 años es ansiedad,1,loq hace ma ano ansiedad,es
230,"crisis de ansiedad, no se ni que pensar",1,crisis ansiedad pensar,es
233,Hoy la ansiedad ha pegado fuerte fuerte 🥲 ¿Qué hacéis cuando sentís que todo se os está haciendo bola y el simple hecho de salir de la cama os da pánico?,1,hoy ansiedad pegado fuerte fuerte haceis sentis haciendo bola simple hecho salir cama da panico,es
234,Depresión ven a mi,1,depresion ven,es
235,Llevo tanto meses en depresión que siento que ya no puedo más.💔,1,llevo me depresion siento puedo ma,es
237,"no dormí por estudiar para 3 examenes para hoy y estoy toda ansiosa 
*me siento como el apendicé, inútil*",1,dormi estudiar examenes hoy toda ansiosa siento apendice inutil,es
239,"Poca vida social me da ansiedad.
Mucha vida social me da ansiedad.
La vida me da ansiedad.
La muerte también me da ansiedad.
Qué asco ser yo.",1,poca vida social da ansiedad mucha vida social da ansiedad vida da ansiedad muerte tambien da ansiedad asco ser,es
241,"@Kristodca @beacar22_ la primera vez que me dio un ataque de ansiedad no sabía qué me estaba pasando, notaba una presión muy fuerte en el pecho y me costaba mucho respirar. empecé a marearme, y del agobio empecé a llorar y a desorientarme. doy gracias a que mi madre entró en mi habitación y me ayudó +",1,primera vez dio ataque ansiedad sabia pasando notaba presion fuerte pecho costaba respirar empece marearme agobio empece llorar desorientarme doy gracias madre entro habitacion ayudo,es
244,otro jueves de faltar al gym porque tengo mucha ansiedad por dos tps q entrego mañana y tengo miedo de no llegar¿?,1,jueves faltar gym mucha ansiedad do tps q entrego manana miedo llegar,es
261,"Estoy manejando un nivel de estres y ansiedad, que hoy me tocó llevar a mis chicuelas al jardin, y tuve que asegurarme al 100, que las dejé en el jardín 😪",1,manejando nivel estres ansiedad hoy toco llevar chicuelas jardin asegurarme deje jardin,es
267,Que ansiedad del orto,1,ansiedad orto,es
269,dios no me bendijo con el don de la inteligencia pero sí con el don de la ansiedad y la verdad que se puede ir bien a la mierda,1,dios bendijo don inteligencia si don ansiedad verdad puede ir bien mierda,es
273,"Nunca eh publicado nada, en estos momentos me siento muy mal no se realmente como sobrellevar la situación por la que estoy pasando de imaginarte la vida junto a otra persona y esa misma persona en una discusión llegará a los golpes. 
Me siento demasiado deprimida con esto..",1,nunca eh publicado momentos siento mal realmente sobrellevar situacion pasando imaginarte vida junto persona misma persona discusion llegara golpes siento demasiado deprimida,es
281,Sobrevivo por pura ansiedad,1,sobrevivo pura ansiedad,es
286,"Mi respuesta al estrés, ansiedad, enojo, aburrimiento, etc. siempre será entra a Twitter y quejarme.",1,respuesta estres ansiedad enojo aburrimiento etc siempre serum entra twitter quejarme,es
301,@karimanesr Si a pesar de tomar magnesio tengo ansiedad q hace q se me suba la presión q más puedo hacer?,1,si pesar tomar magnesio ansiedad q hace q suba presion q ma puedo hacer,es
308,La ansiedad es una hija de puta,1,ansiedad hija puta,es
314,Me desperté con mucha ansiedad 😭😭😭😭😭😭😭😭,1,desperte mucha ansiedad,es
317,No le deseo a nadie tener ataques de ansiedad 😥,1,deseo nadie tener ataques ansiedad,es
320,"quieras o no, una vez, tienes ansiedad, siempre estará ahí xd",1,quieras vez ansiedad siempre estara ahi xd,es
323,@ash_lopezzz Yo me desperté con un ataque de ansiedad,1,desperte ataque ansiedad,es
331,"Dios que ansiedad mas incesaria, no se corrije con azul!!😶🤨 https://t.co/mAMsCLaQEz",1,dios ansiedad ma incesaria corrije azul,es
338,"el otro día pensé en hacer un vídeo sobre “un día conmigo”, pero con la depresión que llevo para grabar un vídeo en el que ni siquiera me levanto de la cama no hago nada.",1,dia pense hacer video dia conmigo depresion llevo grabar video siquiera levanto cama hago,es
339,Lo mejor de estar trabajando con mi ansiedad es ser capaz de darme cuenta de que hay gente que no me merece.,1,mejor trabajando ansiedad ser capaz darme cuenta gente merece,es
346,@En_jupiter_ A veces pienso que mi ansiedad en vez de ir a mejor empeora con el tiempo y ojalá fuera todo tan bonito como lo pintamos en RRSS.,1,veces pienso ansiedad vez ir mejor empeora tiempo ojala tan bonito pintamos rrss,es
352,"@zuleyvbc Es una influenciadora más rola que de Manizales. Y pues, su ""influencia"" está ligada a que las mujeres podemos ser unas putas amas y podemos todo, también, hacia el entendimiento de la ansiedad como algo que muchos vivimos",1,influenciadora ma rola manizales pues influencia ligada mujeres podemos ser unas putas amas podemos tambien hacia entendimiento ansiedad vivimos,es
364,Mis ataques de ansiedad son más constante 😞,1,ataques ansiedad ma constante,es
368,Nadie me había hablado de lo hpta que es la ansiedad.,1,nadie habia hablado hpta ansiedad,es
372,Me advirtieron sobre las recaídas de las depresión pero si ta potente 🥴,1,advirtieron recaidas depresion si ta potente,es
373,La depresión a veces se esconde en las sonrisas.,1,depresion veces esconde sonrisas,es
374,Cuando se crece el aburrimiento se trueca en autodesprecio y la ansiedad en depresión,1,crece aburrimiento trueca autodesprecio ansiedad depresion,es
379,"todo lo que pasa m está dando mucha ansiedad, por más pequeño que sea siento que va a acabar muy mal",1,pasa m dando mucha ansiedad ma pequeno siento va acabar mal,es
380,"de verdad que ya no puedo,,
me estresan demasiado los examenes, y cuando me estreso empiezo a bajar de peso, a demás no como bien,, me estoy subiendo a la báscula cada 5 minutos porque me da mucha ansiedad seguir bajando",1,verdad puedo estresan demasiado examenes estreso empiezo bajar peso demas bien subiendo bascula cada minutos da mucha ansiedad seguir bajando,es
394,Seguro es ansiedad 🥴,1,seguro ansiedad,es
395,Hablemos de la ansiedad que manejo hoy,1,hablemos ansiedad manejo hoy,es
396,NECESITO amigos por dios me voy a morir de la depresión otra vez,1,necesito amigo dios voy morir depresion vez,es
407,"Si han tenido un familiar con cáncer NO SE VEAN #FromScratch #DesdeCero . 
Me desenterró un miedo, pesadillas y ansiedad. 
Nadie habla del miedo post-cáncer con el que vivimos los familiares.",1,si familiar cancer vean fromscratch desdecero desenterro miedo pesadillas ansiedad nadie habla miedo post cancer vivimos familiares,es
409,Una de aquí tiene una dueña con depresión,1,aqui duena depresion,es
424,@Itlvss yo hina no puedo mas con mi ansiedad,1,hina puedo ma ansiedad,es
425,"me desperté entusiasmada para hacer las cosas de hoy y los imbéciles de mis compañeros en 10 minutos me dieron ansiedad y ya estoy llorando, que facil es hablar por favor",1,desperte entusiasmada hacer cosas hoy imbecile companeros minutos dieron ansiedad llorando facil hablar favor,es
426,@jazminczyc Me acuerdo cuando Cory murió estaba DEVASTADA. Más de una semana en depresión profunda,1,acuerdo cory murio devastada ma semana depresion profunda,es
434,Que ansiedad que veo venir,1,ansiedad veo venir,es
436,"Sin dormir y funcionando a base de una taza y media de café, medio sandwich, y ansiedad pura

Tuve una exposición y ahorita un examen de matemáticas del que no se NADA",1,dormir funcionando base taza medium cafe medio sandwich ansiedad pura exposicion ahorita examen matematicas,es
446,"Gracias @jjaviervazquez por visibilizar uno de los síntomas más pesados de la depresión.
No es que te levantes cansado, que también, lo peor es cuando en mitad de una conversación, trabajando o haciendo la compra tu mente te manda el impulso de necesitar fundir a negro y dormir. https://t.co/dd5Xry4cY5",1,gracias visibilizar sintomas ma pesados depresion levantes cansado tambien peor mitad conversacion trabajando haciendo compra mente manda impulso necesitar fundir negro dormir,es
453,"Qué loca es la depresión y la mente, un día sientes que tu vida no tiene sentido y el mundo no es para ti, al día siguiente sientes que puedes comerte el mundo, pero sabes que en cualquier momento la mente te hace caer a lo más profundo otra vez. Qué loco en serio.",1,loca depresion mente dia sientes vida mundo dia siguiente sientes puedes comerte mundo sabes cualquier momento mente hace caer ma profundo vez loco serio,es
455,dios mios depresion no he aprobado ningun parcual cada cual peor k el anterior,1,dios mios depresion aprobado ningun parcual cada peor k anterior,es
458,"@Elenaruemorgue Depresión, ansiedad, y soy una persona de alta sensibilidad (PAS).
También me decían que me hacía falta una“ inyección de vida” adultos cercanos de mi entorno, que sabían que mi madre tenía una enfermedad crónicade la que se estaba muriendo y yo tenía que ocuparme de todo con 12",1,depresion ansiedad persona alta sensibilidad pa tambien decian hacia falta inyeccion vida adultos cercanos entorno sabian madre tenia enfermedad cronicade muriendo tenia ocuparme,es
496,Encima que ya tengo ansiedad estos días parece que es el doble ya bastaa,1,encima ansiedad dia parece doble bastaa,es
519,"@TimmyOToole10 @KouKou780 @kluivert15 @MuriqiVedat @RCD_Mallorca Que ha sufrido depresión tío , que lo contó ayer el .
No voy a hablar de experiencia propia , pero te puedo decir que es bastante jodido , pero bastante y para un futbolista te diría que incluso más .",1,sufrido depresion tio conto ayer voy hablar experiencia propia puedo decir bastante jodido bastante futbolista diria incluso ma,es
523,"Una 'playlist' de música, una pastilla alucinante y tres meses sin síntomas, así es la nueva terapia contra la depresión https://t.co/Y47C5PgWFV vía @ABC_Sociedad",1,playlist musica pastilla alucinante tres me sintomas asi nueva terapia depresion via,es
528,"Ansiedad, estrés, depresión...",1,ansiedad estres depresion,es
537,"no se si la cantidad de laburo nuevo me esta superando, que tengo la necesidad de mudarme solo o depresion...",1,si cantidad laburo nuevo superando necesidad mudarme solo depresion,es
538,"@ayec98_2 @AlexandraJAlva4 @tasty4ever1 @Yo_soy_JulyR @Ari_Arifu2 @Paracelsvs2 @santiagocierray Por lo que leo y a mi corto entender, el cuerpo humano es como un hardware en bruto, luego entre troyanos (stres, ansiedad  miedos..) malware (vacunas, medicamentos, lo que comemos y respiramos) con el tiempo, el hardware se resiente y vienen los problemas...",1,leo corto entender cuerpo humano hardware bruto luego troyanos stres ansiedad miedos malware vacunas medicamentos comemos respiramos tiempo hardware resiente vienen problemas,es
542,entrando en depresión en el fondo,1,entrando depresion fondo,es
547,"@_dianahae_ No sabes lo mucho que me ayudas diciendo esto:( mi ansiedad hace que me vuelva demasiado pesimista y eso me enoja demasiado.
Tus bonitas palabras hacen que me sienta más tranquila🥺💗",1,sabes ayudas diciendo ansiedad hace vuelva demasiado pesimista enoja demasiado bonitas palabras hacen sienta ma tranquila,es
549,"@Daniela82032858 @metrodemedellin Por eso mismo pasan esas cosas. Por la indolencia de tantas personas que piensan que la depresión solo se quita si la persona deja de quejarse y cuando tienen un familiar o amigo en esta situación, en lugar de ayudarlo, lo hacen sentir más mal de lo que ya se sienten",1,mismo pasan cosas indolencia tantas persona piensan depresion solo quita si persona deja quejarse familiar amigo situacion lugar ayudarlo hacen sentir ma mal sienten,es
562,@casasola_89 Te suman en una depresión pero eh quela madre está ahí para siempre 🤣🤣 Pues no haberla matado y que lo tomen todos juntos.,1,suman depresion eh quela madre ahi siempre pues haberla matado tomen junto,es
580,Esto de estar deprimida y en mis días es culero,1,deprimida dia culero,es
583,Hpta la ansiedad un día de estos me va a matar,1,hpta ansiedad dia va matar,es
600,tuve q hacer lo q nunca pensé q haría…… tirår c0mida :///// m siento horrible pero simplemente no me podía comer todo porque me daba muchísima ansiedad y tiré la mayoría m siento como la peor persona del mundo pero x si m preguntan puedo enseñar q m comí todo,1,q hacer q nunca pense q haria tirar c mida m siento horrible simplemente podium comer daba muchisima ansiedad tire mayoria m siento peor persona mundo x si m preguntan puedo ensenar q m comi,es
601,Cansada de tener ansiedad en la escuela y no poder dejar de temblar.,1,cansada tener ansiedad escuela poder dejar temblar,es
603,@djmigueli21 @BsUndefined @hilarytaaa @Icselitro Como olvidar esos maravillosos momentos en los que en LDC te pasas un item y te da toda la ansiedad. 😂,1,olvidar maravillosos momentos ldc pasas item da toda ansiedad,es
604,Ya estaba tardando en llegarme la ansiedad,1,tardando llegarme ansiedad,es
613,odio la ansiedad,1,odio ansiedad,es
620,"A ciegas confió en mi, así la ansiedad me haga dudar de mis actos.",1,ciegas confio asi ansiedad haga dudar actos,es
621,sobrevivo a base de ansiedad hoy,1,sobrevivo base ansiedad hoy,es
630,Me he levantao con una fuerza 😃 ansiedad le dicen 😂,1,levantao fuerza ansiedad dicen,es
648,si supieras q necesito un abrazo tuyo t darías cuenta la ansiedad q tengo...,1,si supieras q necesito abrazo t darias cuenta ansiedad q,es
649,Mk me estoy mueriendo de ma ansiedad,1,mk mueriendo ma ansiedad,es
668,"Capaz todo lo que tengo es depresion post recital solo,quiero volver al lunes",1,capaz depresion post recital solo quiero volver lunes,es
675,La ansiedad es cosa seria.,1,ansiedad cosa seria,es
676,En mi mente está el caos absoluto y la meticulosidad total y conviven creandome una sensación de ansiedad continua pero que al final (casi) todo sale bien.,1,mente caos absoluto meticulosidad total conviven creandome sensacion ansiedad continuum final casi sale bien,es
680,No puedo estar tan deprimida che,1,puedo tan deprimida che,es
691,todo este tiempo fue un duelo de ansiedad,1,tiempo duelo ansiedad,es
693,"Odio profundo a los profesores que te fuerzan a exponer y te evalúan por eso, me da igual que sea para aprender a hablar en público y sus vainas, no tienen en cuenta a las personas que tienen ansiedad social, pánico escénico, personas neurodivergentes...",1,odio profundo profesores fuerzan exponer evaluan da igual aprender hablar publico vainas cuenta persona ansiedad social panico escenico persona neurodivergentes,es
694,"La niña ve que le estan dando ataques de ansiedad, y va y se compra su Red Bull…",1,nina ve estan dando ataques ansiedad va compra red bull,es
695,Él me devolvió algo que hace muchos años se había ido... La ansiedad,1,devolvio hace ano habia ido ansiedad,es
709,"aunque te diga que estoy bien, tengo ansiedad
de abarcar todo esto yo sola sin mirar atrás",1,aunque diga bien ansiedad abarcar sola mirar atras,es
725,no pude con mi ansiedad y ya estoy despierta😪,1,pude ansiedad despierta,es
730,A menos de dos horas de mi examen de calculos a la fisica y los nervios y ansiedad me consumen help,1,menos do horas examen calculos fisica nervios ansiedad consumen help,es
748,"@carlaarodrigzz ""Por vos caí de nuevo en la depresión y tengo más ataques de ansiedad que al principio de la relación"" me lo dijo mi ex novio",1,vos cai nuevo depresion ma ataques ansiedad principio relacion dijo ex novio,es
764,Nadie sabe lo feo que es que te cambien por otra persona que capas que lo tiene todo pero vos estabas dando lo mejor de vos para que esa persona fuera feliz y que nunca le falte nada mientras vos luchando con la depresión y los ataques de ansiedad que tenias cada noche🥺😖🤧💔,1,nadie sabe feo cambien persona capas vos dando mejor vos persona feliz nunca falte mientras vos luchando depresion ataques ansiedad tenia cada noche,es
765,Ojalá hoy si me resuelvan. Me esta matando la ansiedad 😭,1,ojala hoy si resuelvan matando ansiedad,es
769,Que jueves tan lleno de ansiedad 😭😭 odio porque hace tiempo no me pasaba,1,jueves tan lleno ansiedad odio hace tiempo pasaba,es
779,"@dominosita Te entiendo. Tuve mi 1er y único hijo a los 38. Embarazo de muy alto riesgo. Pasé de los 9 meses 7 hospitalizada. Siempre pienso que debí tenerlo 10 años antes. Aparte de depresión y cansancio extremo, pa ñapa tuve menopausia precoz 6 meses después de tener a mi hijo",1,entiendo er unico hijo embarazo alto riesgo pase me hospitalizada siempre pienso debi tenerlo ano aparte depresion cansancio extremo pa napa menopausia precoz me despues tener hijo,es
780,"@serveniaciale quieres un abrazo, no lo digo de reirme, que no quiero que lo parezca, un abrazo a mi me calma incluso cuando tengo un mini ataque de ansiedad o estoy enfadado con medio mundo",1,quieres abrazo digo reirme quiero parezca abrazo calma incluso mini ataque ansiedad enfadado medio mundo,es
783,"Toda la ansiedad y la madrugadera para llegar a la oficina y que el profe te diga ""teníamos reunión hoy?""",1,toda ansiedad madrugadera llegar oficina profe diga teniamos reunion hoy,es
792,no puedo con la ansiedad q traigo desde anoche,1,puedo ansiedad q traigo anoche,es
805,"@jcjaramillos @LeonardojSierra Si, y me siguen dando ansiedad los exámenes, y se me sigue olvidando todo en los momentos de los exámenes, ¿y? Lastima? Lastima me da tener que leer un argumento tan falto de todo de su parte: miedos y complejos? Quizá los suyos si son complejos, a lo mejor de inferioridad. 😉 😘",1,si siguen dando ansiedad examenes sigue olvidando momentos examenes lastima lastima da tener leer argumento tan falto parte miedos complejos quiza si complejos mejor inferioridad,es
812,"Un dia me tocó llamar a la Corte de Constitucionalidad y me dio un chingo de ansiedad porque no me resolvían y yo de ""señora, solo soy un estudiante, no sea asi conmigo"" 😭😭 https://t.co/xINr8QEEuj",1,dia toco llamar corte constitucionalidad dio chingo ansiedad resolvian senora solo estudiante asi conmigo,es
813,No puedo ni dormir de la ansiedad por el trabajo,1,puedo dormir ansiedad trabajo,es
814,Ha tardado ocho años pa decirme que tengo ansiedad con la comida. SEÑORA SE LO ESTOY DICIENDO YOOOOOOO,1,tardado ocho ano pa decirme ansiedad comida senora diciendo yooo,es
816,entras a mi cuarto y hay un olor a depresión,1,entras cuarto olor depresion,es
817,Empecemos la mañana con un ataque de ansiedad para variar,1,empecemos manana ataque ansiedad variar,es
818,Últimamente me he sentido muy ansiosa y me gustaría saber porque :/,1,ultimamente ansiosa gustaria saber,es
821,"Yo me lo repito todos los dias 
No tienes hambre tienes ansiedad 
#Ansiedad https://t.co/0Td4rSuHgr",1,repito dia hambre ansiedad ansiedad,es
823,"Desde 2º de bach que no sentía yo esta ansiedad y presión 🙃
C4losPedia I need you🥲 https://t.co/MSCuQCEM9F",1,bach sentia ansiedad presion c lospedia i need you,es
825,"me dio un ataque de ansiedad en el colegio, hace mucho no me pasaba y fue re feo, solo lloraba y no podia respirar, necesitaba sentirme libre pero me sentia encerrada como siempre",1,dio ataque ansiedad colegio hace pasaba re feo solo lloraba podium respirar necesitaba sentirme libre sentia encerrada siempre,es
827,"@dani06al No existen palabras mágicas para curar o aliviar la depresión pero estar rodeada de cariño y afecto ayuda, por supuesto con terapia y tratamiento médico especializado. Un abrazo.",1,existen palabras magicas curar aliviar depresion rodeada carino afecto ayuda supuesto terapia tratamiento medico especializado abrazo,es
828,"Necesito un sustituto del café, que me despierte pero que no me de tales niveles de ansiedad y taquicardias",1,necesito sustituto cafe despierte tale niveles ansiedad taquicardias,es
834,"como le digo a mamá que no me puedo levantar de la cama sin que se moleste, ando tan deprimida y bajoneada, lo unico que quiero es dormir🙃",1,digo mama puedo levantar cama moleste ando tan deprimida bajoneada unico quiero dormir,es
852,me estoy mentalizando para el 3.3 porque seguramente no me saldrá itto y caeré en una depresión severa https://t.co/4vha0B9mDP,1,mentalizando seguramente saldra itto caere depresion severa,es
856,"Por qué tendría que pasar por un cuadro de ansiedad si fui a divertirme?

🧠: Uhmm, no sé",1,tendria pasar cuadro ansiedad si divertirme uhmm,es
864,"la depresión no tiene edad, los ataques de pánico no son un show, la ansiedad no es una exageración, la baja autoestima no es un juego, la salud mental es tan importante como la física; empiecen a ser más empáticos y respetuosos con todos",1,depresion edad ataques panico show ansiedad exageracion baja autoestima juego salud mental tan importante fisica empiecen ser ma empaticos respetuosos,es
865,Estoy con tanta ansiedad y estrés que hoy me desperté teniendo arcadas jaksjd la estoy pasando re mal necesito estar operado y poder respirar tranquilo,1,tanta ansiedad estres hoy desperte arcadas jaksjd pasando re mal necesito operado poder respirar tranquilo,es
875,"No, no es normal que tu pareja, amiga, amigo, familiar te genere ansiedad",1,normal pareja amiga amigo familiar genere ansiedad,es
880,La ansiedad me come cuando alguien me dice que sabe algo pero que no me lo quiere decir para que no me sienta mal o me duela :',1,ansiedad come alguien dice sabe quiere decir sienta mal duela,es
884,"Me dejaste todo 2021 SOLO pero me fui? Te engañe? Te ocupe de excusa para ver si otro era mejor?
El de hablar al día siguiente después de haberme cagado, no era avaricioso? Yo era el malo jjajajaja, crisis de ansiedad, ganas de morir, ganas de vomitar al verme, llantos durante",1,dejaste solo engane ocupe excusa ver si mejor hablar dia siguiente despues haberme cagado avaricioso malo crisis ansiedad ganas morir ganas vomitar verme llantos,es
900,"me pone triste pensar que no estoy disfrutando el momento, en 5 años cuando piense en cuando tenía 18 no más y debía de estar disfrutando mi vida estaba más deprimida que nunca",1,pone triste pensar disfrutando momento ano piense tenia ma debia disfrutando vida ma deprimida nunca,es
902,JAJA les juro que jamás en vida había deseado tanto que fuera diciembre para que me dieran el aguinaldo. Y pongo JAJA pero la verdad ya me andan dando mis crisis de ansiedad 🙃 ser adulto no está chido.,1,juro jamas vida habia deseado diciembre dieran aguinaldo pongo verdad andan dando crisis ansiedad ser adulto chido,es
903,La ansiedad que tengo pensando que podría ser hoy 🙄,1,ansiedad pensando podria ser hoy,es
905,la depresión me tiene con una pérdida de memoria increíble,1,depresion perdida memoria increible,es
911,@DessmonddSKRR No no con rutinas mejor cura la depresión y todo,1,rutinas mejor cura depresion,es
915,mi ansiedad ahora mismo no me está ayudando en absoluto,1,ansiedad ahora mismo ayudando absoluto,es
923,"Maldigo el día en él k me puse un cigarro en la boca.
Atte. La ansiedad",1,maldigo dia k puse cigarro boca atte ansiedad,es
924,"Hacer un grupo y salir, para que ellas organicen me mata la ansiedad 😢",1,hacer grupo salir organicen mata ansiedad,es
