,Comentarios,Depresivo,TweetPre,Idioma
380,"de verdad que ya no puedo,,
me estresan demasiado los examenes, y cuando me estreso empiezo a bajar de peso, a demás no como bien,, me estoy subiendo a la báscula cada 5 minutos porque me da mucha ansiedad seguir bajando",1,de verdad que ya no puedo me estresan demasiado los examenes y cuando me estreso empiezo bajar de peso demas no como bien me estoy subiendo la bascula cada minutos porque me da mucha ansiedad seguir bajando,es
394,Seguro es ansiedad 🥴,1,seguro es ansiedad,es
395,Hablemos de la ansiedad que manejo hoy,1,hablemos de la ansiedad que manejo hoy,es
396,NECESITO amigos por dios me voy a morir de la depresión otra vez,1,necesito amigos por dios me voy morir de la depresion otra vez,es
407,"Si han tenido un familiar con cáncer NO SE VEAN #FromScratch #DesdeCero . 
Me desenterró un miedo, pesadillas y ansiedad. 
Nadie habla del miedo post-cáncer con el que vivimos los familiares.",1,si han tenido un familiar con cancer no se vean fromscratch desdecero me desenterro un miedo pesadillas y ansiedad nadie habla del miedo post cancer con el que vivimos los familiares,es
409,Una de aquí tiene una dueña con depresión,1,una de aqui tiene una duena con depresion,es
424,@Itlvss yo hina no puedo mas con mi ansiedad,1,yo hina no puedo mas con mi ansiedad,es
425,"me desperté entusiasmada para hacer las cosas de hoy y los imbéciles de mis compañeros en 10 minutos me dieron ansiedad y ya estoy llorando, que facil es hablar por favor",1,me desperte entusiasmada para hacer las cosas de hoy y los imbeciles de mis companeros en minutos me dieron ansiedad y ya estoy llorando que facil es hablar por favor,es
426,@jazminczyc Me acuerdo cuando Cory murió estaba DEVASTADA. Más de una semana en depresión profunda,1,me acuerdo cuando cory murio estaba devastada mas de una semana en depresion profunda,es
434,Que ansiedad que veo venir,1,que ansiedad que veo venir,es
436,"Sin dormir y funcionando a base de una taza y media de café, medio sandwich, y ansiedad pura

Tuve una exposición y ahorita un examen de matemáticas del que no se NADA",1,sin dormir y funcionando base de una taza y media de cafe medio sandwich y ansiedad pura tuve una exposicion y ahorita un examen de matematicas del que no se nada,es
446,"Gracias @jjaviervazquez por visibilizar uno de los síntomas más pesados de la depresión.
No es que te levantes cansado, que también, lo peor es cuando en mitad de una conversación, trabajando o haciendo la compra tu mente te manda el impulso de necesitar fundir a negro y dormir. https://t.co/dd5Xry4cY5",1,gracias por visibilizar uno de los sintomas mas pesados de la depresion no es que te levantes cansado que tambien lo peor es cuando en mitad de una conversacion trabajando o haciendo la compra tu mente te manda el impulso de necesitar fundir negro y dormir,es
453,"Qué loca es la depresión y la mente, un día sientes que tu vida no tiene sentido y el mundo no es para ti, al día siguiente sientes que puedes comerte el mundo, pero sabes que en cualquier momento la mente te hace caer a lo más profundo otra vez. Qué loco en serio.",1,que loca es la depresion y la mente un dia sientes que tu vida no tiene sentido y el mundo no es para ti al dia siguiente sientes que puedes comerte el mundo pero sabes que en cualquier momento la mente te hace caer lo mas profundo otra vez que loco en serio,es
455,dios mios depresion no he aprobado ningun parcual cada cual peor k el anterior,1,dios mios depresion no he aprobado ningun parcual cada cual peor k el anterior,es
458,"@Elenaruemorgue Depresión, ansiedad, y soy una persona de alta sensibilidad (PAS).
También me decían que me hacía falta una“ inyección de vida” adultos cercanos de mi entorno, que sabían que mi madre tenía una enfermedad crónicade la que se estaba muriendo y yo tenía que ocuparme de todo con 12",1,depresion ansiedad y soy una persona de alta sensibilidad pas tambien me decian que me hacia falta una inyeccion de vida adultos cercanos de mi entorno que sabian que mi madre tenia una enfermedad cronicade la que se estaba muriendo y yo tenia que ocuparme de todo con,es
496,Encima que ya tengo ansiedad estos días parece que es el doble ya bastaa,1,encima que ya tengo ansiedad estos dias parece que es el doble ya bastaa,es
519,"@TimmyOToole10 @KouKou780 @kluivert15 @MuriqiVedat @RCD_Mallorca Que ha sufrido depresión tío , que lo contó ayer el .
No voy a hablar de experiencia propia , pero te puedo decir que es bastante jodido , pero bastante y para un futbolista te diría que incluso más .",1,que ha sufrido depresion tio que lo conto ayer el no voy hablar de experiencia propia pero te puedo decir que es bastante jodido pero bastante y para un futbolista te diria que incluso mas,es
523,"Una 'playlist' de música, una pastilla alucinante y tres meses sin síntomas, así es la nueva terapia contra la depresión https://t.co/Y47C5PgWFV vía @ABC_Sociedad",1,una playlist de musica una pastilla alucinante y tres meses sin sintomas asi es la nueva terapia contra la depresion via,es
528,"Ansiedad, estrés, depresión...",1,ansiedad estres depresion,es
537,"no se si la cantidad de laburo nuevo me esta superando, que tengo la necesidad de mudarme solo o depresion...",1,no se si la cantidad de laburo nuevo me esta superando que tengo la necesidad de mudarme solo o depresion,es
538,"@ayec98_2 @AlexandraJAlva4 @tasty4ever1 @Yo_soy_JulyR @Ari_Arifu2 @Paracelsvs2 @santiagocierray Por lo que leo y a mi corto entender, el cuerpo humano es como un hardware en bruto, luego entre troyanos (stres, ansiedad  miedos..) malware (vacunas, medicamentos, lo que comemos y respiramos) con el tiempo, el hardware se resiente y vienen los problemas...",1,por lo que leo y mi corto entender el cuerpo humano es como un hardware en bruto luego entre troyanos stres ansiedad miedos malware vacunas medicamentos lo que comemos y respiramos con el tiempo el hardware se resiente y vienen los problemas,es
542,entrando en depresión en el fondo,1,entrando en depresion en el fondo,es
547,"@_dianahae_ No sabes lo mucho que me ayudas diciendo esto:( mi ansiedad hace que me vuelva demasiado pesimista y eso me enoja demasiado.
Tus bonitas palabras hacen que me sienta más tranquila🥺💗",1,no sabes lo mucho que me ayudas diciendo esto mi ansiedad hace que me vuelva demasiado pesimista y eso me enoja demasiado tus bonitas palabras hacen que me sienta mas tranquila,es
549,"@Daniela82032858 @metrodemedellin Por eso mismo pasan esas cosas. Por la indolencia de tantas personas que piensan que la depresión solo se quita si la persona deja de quejarse y cuando tienen un familiar o amigo en esta situación, en lugar de ayudarlo, lo hacen sentir más mal de lo que ya se sienten",1,por eso mismo pasan esas cosas por la indolencia de tantas personas que piensan que la depresion solo se quita si la persona deja de quejarse y cuando tienen un familiar o amigo en esta situacion en lugar de ayudarlo lo hacen sentir mas mal de lo que ya se sienten,es
562,@casasola_89 Te suman en una depresión pero eh quela madre está ahí para siempre 🤣🤣 Pues no haberla matado y que lo tomen todos juntos.,1,te suman en una depresion pero eh quela madre esta ahi para siempre pues no haberla matado y que lo tomen todos juntos,es
580,Esto de estar deprimida y en mis días es culero,1,esto de estar deprimida y en mis dias es culero,es
583,Hpta la ansiedad un día de estos me va a matar,1,hpta la ansiedad un dia de estos me va matar,es
600,tuve q hacer lo q nunca pensé q haría…… tirår c0mida :///// m siento horrible pero simplemente no me podía comer todo porque me daba muchísima ansiedad y tiré la mayoría m siento como la peor persona del mundo pero x si m preguntan puedo enseñar q m comí todo,1,tuve q hacer lo q nunca pense q haria tirar c mida m siento horrible pero simplemente no me podia comer todo porque me daba muchisima ansiedad y tire la mayoria m siento como la peor persona del mundo pero x si m preguntan puedo ensenar q m comi todo,es
601,Cansada de tener ansiedad en la escuela y no poder dejar de temblar.,1,cansada de tener ansiedad en la escuela y no poder dejar de temblar,es
603,@djmigueli21 @BsUndefined @hilarytaaa @Icselitro Como olvidar esos maravillosos momentos en los que en LDC te pasas un item y te da toda la ansiedad. 😂,1,como olvidar esos maravillosos momentos en los que en ldc te pasas un item y te da toda la ansiedad,es
604,Ya estaba tardando en llegarme la ansiedad,1,ya estaba tardando en llegarme la ansiedad,es
613,odio la ansiedad,1,odio la ansiedad,es
620,"A ciegas confió en mi, así la ansiedad me haga dudar de mis actos.",1,ciegas confio en mi asi la ansiedad me haga dudar de mis actos,es
621,sobrevivo a base de ansiedad hoy,1,sobrevivo base de ansiedad hoy,es
630,Me he levantao con una fuerza 😃 ansiedad le dicen 😂,1,me he levantao con una fuerza ansiedad le dicen,es
648,si supieras q necesito un abrazo tuyo t darías cuenta la ansiedad q tengo...,1,si supieras q necesito un abrazo tuyo t darias cuenta la ansiedad q tengo,es
649,Mk me estoy mueriendo de ma ansiedad,1,mk me estoy mueriendo de ma ansiedad,es
668,"Capaz todo lo que tengo es depresion post recital solo,quiero volver al lunes",1,capaz todo lo que tengo es depresion post recital solo quiero volver al lunes,es
675,La ansiedad es cosa seria.,1,la ansiedad es cosa seria,es
676,En mi mente está el caos absoluto y la meticulosidad total y conviven creandome una sensación de ansiedad continua pero que al final (casi) todo sale bien.,1,en mi mente esta el caos absoluto y la meticulosidad total y conviven creandome una sensacion de ansiedad continua pero que al final casi todo sale bien,es
680,No puedo estar tan deprimida che,1,no puedo estar tan deprimida che,es
691,todo este tiempo fue un duelo de ansiedad,1,todo este tiempo fue un duelo de ansiedad,es
693,"Odio profundo a los profesores que te fuerzan a exponer y te evalúan por eso, me da igual que sea para aprender a hablar en público y sus vainas, no tienen en cuenta a las personas que tienen ansiedad social, pánico escénico, personas neurodivergentes...",1,odio profundo los profesores que te fuerzan exponer y te evaluan por eso me da igual que sea para aprender hablar en publico y sus vainas no tienen en cuenta las personas que tienen ansiedad social panico escenico personas neurodivergentes,es
694,"La niña ve que le estan dando ataques de ansiedad, y va y se compra su Red Bull…",1,la nina ve que le estan dando ataques de ansiedad y va y se compra su red bull,es
695,Él me devolvió algo que hace muchos años se había ido... La ansiedad,1,el me devolvio algo que hace muchos anos se habia ido la ansiedad,es
709,"aunque te diga que estoy bien, tengo ansiedad
de abarcar todo esto yo sola sin mirar atrás",1,aunque te diga que estoy bien tengo ansiedad de abarcar todo esto yo sola sin mirar atras,es
725,no pude con mi ansiedad y ya estoy despierta😪,1,no pude con mi ansiedad y ya estoy despierta,es
730,A menos de dos horas de mi examen de calculos a la fisica y los nervios y ansiedad me consumen help,1,menos de dos horas de mi examen de calculos la fisica y los nervios y ansiedad me consumen help,es
748,"@carlaarodrigzz ""Por vos caí de nuevo en la depresión y tengo más ataques de ansiedad que al principio de la relación"" me lo dijo mi ex novio",1,por vos cai de nuevo en la depresion y tengo mas ataques de ansiedad que al principio de la relacion me lo dijo mi ex novio,es
764,Nadie sabe lo feo que es que te cambien por otra persona que capas que lo tiene todo pero vos estabas dando lo mejor de vos para que esa persona fuera feliz y que nunca le falte nada mientras vos luchando con la depresión y los ataques de ansiedad que tenias cada noche🥺😖🤧💔,1,nadie sabe lo feo que es que te cambien por otra persona que capas que lo tiene todo pero vos estabas dando lo mejor de vos para que esa persona fuera feliz y que nunca le falte nada mientras vos luchando con la depresion y los ataques de ansiedad que tenias cada noche,es
765,Ojalá hoy si me resuelvan. Me esta matando la ansiedad 😭,1,ojala hoy si me resuelvan me esta matando la ansiedad,es
769,Que jueves tan lleno de ansiedad 😭😭 odio porque hace tiempo no me pasaba,1,que jueves tan lleno de ansiedad odio porque hace tiempo no me pasaba,es
779,"@dominosita Te entiendo. Tuve mi 1er y único hijo a los 38. Embarazo de muy alto riesgo. Pasé de los 9 meses 7 hospitalizada. Siempre pienso que debí tenerlo 10 años antes. Aparte de depresión y cansancio extremo, pa ñapa tuve menopausia precoz 6 meses después de tener a mi hijo",1,te entiendo tuve mi er y unico hijo los embarazo de muy alto riesgo pase de los meses hospitalizada siempre pienso que debi tenerlo anos antes aparte de depresion y cansancio extremo pa napa tuve menopausia precoz meses despues de tener mi hijo,es
780,"@serveniaciale quieres un abrazo, no lo digo de reirme, que no quiero que lo parezca, un abrazo a mi me calma incluso cuando tengo un mini ataque de ansiedad o estoy enfadado con medio mundo",1,quieres un abrazo no lo digo de reirme que no quiero que lo parezca un abrazo mi me calma incluso cuando tengo un mini ataque de ansiedad o estoy enfadado con medio mundo,es
783,"Toda la ansiedad y la madrugadera para llegar a la oficina y que el profe te diga ""teníamos reunión hoy?""",1,toda la ansiedad y la madrugadera para llegar la oficina y que el profe te diga teniamos reunion hoy,es
792,no puedo con la ansiedad q traigo desde anoche,1,no puedo con la ansiedad q traigo desde anoche,es
805,"@jcjaramillos @LeonardojSierra Si, y me siguen dando ansiedad los exámenes, y se me sigue olvidando todo en los momentos de los exámenes, ¿y? Lastima? Lastima me da tener que leer un argumento tan falto de todo de su parte: miedos y complejos? Quizá los suyos si son complejos, a lo mejor de inferioridad. 😉 😘",1,si y me siguen dando ansiedad los examenes y se me sigue olvidando todo en los momentos de los examenes y lastima lastima me da tener que leer un argumento tan falto de todo de su parte miedos y complejos quiza los suyos si son complejos lo mejor de inferioridad,es
812,"Un dia me tocó llamar a la Corte de Constitucionalidad y me dio un chingo de ansiedad porque no me resolvían y yo de ""señora, solo soy un estudiante, no sea asi conmigo"" 😭😭 https://t.co/xINr8QEEuj",1,un dia me toco llamar la corte de constitucionalidad y me dio un chingo de ansiedad porque no me resolvian y yo de senora solo soy un estudiante no sea asi conmigo,es
813,No puedo ni dormir de la ansiedad por el trabajo,1,no puedo ni dormir de la ansiedad por el trabajo,es
814,Ha tardado ocho años pa decirme que tengo ansiedad con la comida. SEÑORA SE LO ESTOY DICIENDO YOOOOOOO,1,ha tardado ocho anos pa decirme que tengo ansiedad con la comida senora se lo estoy diciendo yooooooo,es
816,entras a mi cuarto y hay un olor a depresión,1,entras mi cuarto y hay un olor depresion,es
817,Empecemos la mañana con un ataque de ansiedad para variar,1,empecemos la manana con un ataque de ansiedad para variar,es
818,Últimamente me he sentido muy ansiosa y me gustaría saber porque :/,1,ultimamente me he sentido muy ansiosa y me gustaria saber porque,es
821,"Yo me lo repito todos los dias 
No tienes hambre tienes ansiedad 
#Ansiedad https://t.co/0Td4rSuHgr",1,yo me lo repito todos los dias no tienes hambre tienes ansiedad ansiedad,es
823,"Desde 2º de bach que no sentía yo esta ansiedad y presión 🙃
C4losPedia I need you🥲 https://t.co/MSCuQCEM9F",1,desde de bach que no sentia yo esta ansiedad y presion c lospedia i need you,es
