,Comentarios,Idioma,TweetPre
75,llegue jajaja nivel hartazgo cada vez que voy jajaja cooper hay mil personas gondola que necesito voy jajaja otras hasta que este vacio tardo mas pero paciencia agradece,es,llegue jajaja nivel hartazgo cada jajaja coope persona gondola necesito jajaja vacio tardo paciencia agradece
78,rehuso jajaja mirar otro tinto que haga llorar,es,rehuso jajaja mirar tiktok haga llorar
82,puedo creer gorda estoy quiero llorar mares,es,puedo creer gorda quiero llorar mare
83,esta haciendo costumbre dar dos besitos estoy triste,es,haciendo costumbre besitos triste
84,feliz puedo escuchar jajaja harry styles sin llorar,es,feliz puedo escuchar jajaja harry style llorar
89,mama para llorar por vista senora culparla,es,mama llorar vista senora culpaaa
90,aldkkskd bueno jajaja llorar mientras escucho claramente,es,aldkkskd buenooo jajaja llorar mientras escucho claramente
91,quiero llorar,es,quiero llorar
92,cuerpo ansioso que arde,es,cuerpo ansioso arde
93,que triste que vida,es,triste vida
96,madre sabia que iba jajaja llorar con ultimo after life pero esta manera que pedazo serie por favor amo,es,madre sabia jajaja llorar ultimo after life manera pedazo serie favor
97,triste amor por eles,es,triste amor eles
98,voy jajaja estar con horario topado sky escape realidad voy jajaja llorar,es,jajaja horario topado escape realidad jajaja llorar
103,hijo pablo ido hoy con amigo hacia ano medio que iba dicho tus mismas palabras desde luego otros pocos mas que conocemos podemos tener conciencia tranquila pero muy triste sacia necesitamos tener exito nuestra lucha seguimos,es,hijo pablo amigo hacia medio dicho mismas palabras luego pocos conocemos podemos tener conciencia tranquila triste sacia necesitamos tener exito lucha seguimos
104,esto mas triste jajaja que puede llegar una sociedad olvidar los errores del pasado dejar que por los intereses unos pocos volvamos jajaja cometerlos,es,triste jajaja puede llegar sociedad olvidar errores pasado dejar intereses pocos volvamos jajaja cometerlos
108,estoy cansada aguantar aguantar,es,cansada aguantar aguantar
109,date una sobada vapor hagas mas cansada algo esta gente hasta madre del comida,es,date sobada vaporru hagas cansada gente madre covid
119,este fiscal fue que estaban echando flores opinion estan dejando vacio procesal,es,fiscal echando flores opinion estan dejando vacio procesal
122,cansado estar esta casa,es,cansado casa
123,haces llorar cualquier manera vas jajaja desaparecer,es,haces llorar cualquier manera jajaja desaparecer
124,pregunto que por que cara dije que estaba cansada pero dije que asumio que por trabajo,es,pregunto cara dije cansada dije asumio trabajo
125,hoy hice directo matutino porque queria grinder muchisima impotencia porque tenido una mala suerte flipante trolls gente que habla que insulta paciencia tiene limite sinceramente muy triste,es,hice directo matutino queria grindear muchisima impotencia mala suerte flipante troll gente habla insulta paciencia limite sinceramente triste
126,tiene anos meses hoy simon mordio nariz puedo dejar llorar jamas habia atacado broma ademas obvio regale horrible puso cara tragedia,es,ano me simon mordio nariz puedo dejar llorar jamas habia atacado broma ademas obvio regane horrible puso cara tragedia
129,como esta comiendo cabeza ansiedad los ataques panico,es,comiendo cabeza ansiedad ataques panico
133,estoy atragantando con los chinitos pehuamar podia ansiedad martin trajo,es,atragantando chisitos pehuamar podium ansiedad martin trajo
134,voy jajaja releer esta obra arte porque estoy muy triste,es,jajaja releer obra arte triste
135,ansiedad deja dormir comer bien necesito estar mudada,es,ansiedad deja dormir comer bien necesito mudada
140,una manana hemos acabado trabajo proud reir llorar caido wifi peor momento,es,manana acabado trabajo produ reir llorar caido wifi peor momento
142,esta manana llore ver jajaja mis bebes abrazar jajaja hermano que veian hace anos acabe llorar despues ver video donde dan sorpresa jajaja mama definitivamente familia ese lazo que nos completa las amor,es,manana llore jajaja bebes abrazar jajaja hermano veian hace ano acabe llorar despues video sorpresa jajaja mama definitivamente familia lazo completa amoo
143,fisicamente cansada psicologicamente escotada,es,fisicamente cansada psicologicamente esgotada
145,fabada loco afterlife hiciste llorar con todo eso que termine ver serie,es,faaa loco afterlife hiciste llorar termine serie
149,puse triste pato pone pensamientos,es,puse triste pato pone pensamientos
151,puse triste final dio mucha ternura ajsjshsk,es,puse triste final mucha ternura ajsjshsk
155,muy triste hace semana equivoco sufria depresion,es,triste hace semana equivoco sufria depresion
160,depresion media profunda consulta jajaja psiquiatra leve con unos antidepresivos que venden sin receta vences,es,depresion medium profunda consulta jajaja psiquiatra leve antidepresivos venden receta vences
161,ansiedad que tenido hoy deseo jajaja nadie che,es,ansiedad deseo jajaja nadie
162,llevamos anos con tremendo corrupto que fue misma justicia cajones para que los periodistas pagos las lacras del pro descongelen mas del correo estas preocupado por esto uds tambien son lacras justo que los diga,es,llevamos ano tremendo corrupto nisman justicia cajonea periodistas pagos lacras descongelen correo preocupado tambien lacras justo diga
166,tengo weed hace dias que triste,es,weed hace dia triste
169,todas formas hoy tocaba llorar,es,toda formas tocaba llorar
170,les des ese poder amiga hacelos llorar vos,es,poder amiga hacelxs llorar
173,esta justo delante del sitio vacio hecho jajaja primera vista tambien pense que era estafa despues que las cabanas estaban justo adelante,es,justo delante sitio vacio hecho jajaja primera vista tambien pense estafa despues cabana justo adelante
178,neta sorprende mucho como tengo gente tan chida vida que preocupa mas por que familia nuclear quiero llorar mucho,es,neta sorprende gente chida vida preocupa familia nuclear quiero llorar muchooo
183,ansiedad vuelvas por favor,es,ansiedad vuelvas favor
187,muy triste lamentable tema mas peligroso como nos estuvieramos acostumbrando jajaja estas muertes debieramos estar todos remando para mismo lado gobierno oposición prensa uniformados ciudadania muy triste,es,triste lamentable tema peligroso estuvieramos acostumbrando jajaja muertes debieramos remando mismo lado gobierno oposicion prensa uniformados ciudadania triste
189,quiero llorar cada vez que veo algo como esto todos los dias peleo con todos los que queman dejan sus basuras botellas vidrio calle pero hay caso gente entiendeme,es,quiero llorar cada dia peleo queman dejan basuras botellas vidrio calle caso gente entiendeee
192,tienes algo depresion,es,depresion
194,gustas pero ansiedad estar esperando mensaje,es,gustas ansiedad esperando mensaje
197,madurar darse cuenta que todos drogan tienen depresion ansiedad deudas,es,madurar darse cuenta drogan depresion ansiedad deudas
207,porque hemos sido victimas vi hija nunca querido verlo triste que vean realmente mayoria por derecho los,es,sido victimas hija nunca querido verlo triste vean realmente mayoria derecho
208,quiero llorar dias,es,quiero llorar dia
210,diras que esto triste incluso hasta muy mal digo que pero porque asi queriamos que fuese oohhh triste humanidad,es,diras triste incluso digo queriamos oohhh triste humanidad
212,hoy siento mega cansada,es,siento mega cansada
214,cerrar podra mis ojos postrera sombra que llevare blanco dia podra desatar esta alma mia hora jajaja afan ansioso lisonjera mas demora parte ribera dejara memoria donde ardia nadar sabe llama agua fria perder respeto jajaja ley severa,es,cerrar podra ojos postrera sombra llevare blanco podra desatar alma hora jajaja afan ansioso lisonjera desotra parte ribera dejara memoria ardia nadar sabe llama agua fria perder respeto jajaja severa
215,igual debio haberse sorprendido cuando vino harry primera vez taba sentada con ella liceo puse jajaja llorar kskdkfkfkf pucha isal iria pero hay plata,es,igual debio haberse sorprendido vino harry primera taba sentada liceo puse jajaja llorar kskdkfkfkf pucha iwal iria plata
216,guacamayo jajaja arrancar todas las plumas ansiedad que tiene pobre secretada,es,guacamaya jajaja arrancar toda plumas ansiedad pobre secretgala
218,verdad que poco triste que tenga tanto alcancen twitch como gustaria pido tener personas viendome con conformo soy feliz para siempre que haya interacción chat demas pido ser mejor pero pasarlo bien con hobby,es,verdad triste alcancen twitch gustaria pido tener persona viendome conformo feliz siempre interaccion chat demas pido mejor pasarlo bien hobby
220,que triste suelen ser jajaja veces las noticas que futbol nos puede dejar chivato sido otra victima mas las perreras cancha ojala fractura sea tan grave pobre joseph,es,triste suelen jajaja veces noticas futbol puede dejar chivito sido victima perreras cancha ojala fractura grave pobre joseph
221,jajaja mierda hice ranchera hoy entrenando siendo las nueve quiero jajaja mimir sin comer cansada stop,es,jajaja mierrda hice canchera entrenando siendo nueve quiero jajaja mimir comer cansada stoi
223,ninguna canción pone triste jajsjajsksk aparece esta canción,es,ninguna cancion pone triste jajsjajsksk aparece cancion
224,triste final vladimir tomaron primer humano que murio una mision espacial,es,triste final vladimir komarov primer humano murio mision espacial
225,gracias cristian triste realidad,es,gracias cristian triste realidad
229,joder llorar llorar sin parar mas jodido que vengan diciendo que deje dar pena llamar atención paso todo quiero desaparecer una puta vez,es,joder llorar llorar parar jodido vengan diciendo deje pena llamar atencion paso quiero desaparecer puta
230,solo recordar como hizo llorar jajaja muchos con ese comentario,es,solo recordar hizo llorar jajaja comentario
231,madre mia digo tener sangre unicornio muuy cansado,es,madre digo tener sangre unicornio muuy cansado
232,fer mierda gusta hacerme llorar,es,mierda gusta hacerme llorar
233,tengo mucha hambre tantito ansiedad por viernes quiero saber bien que jajaja suceder unico que puedo hacer ahora para pasar hambre miedo dormir,es,mucha hambre tantito ansiedad viernes quiero saber bien jajaja suceder unico puedo hacer ahora pasar hambre miedo dormir
235,hubiera alejado del amor vida hubiera preocupado por aprender jajaja manejar hubiera aguantado anos pareja nabo del padre hija,es,alejado amor vida preocupado aprender jajaja manejar aguantado ano pareja nabo padre hija
236,que triste llegar jajaja esta altura vida dugan tener que mentir para gilada venderse sin importar ensuciar memoria quien puede defenderse sos poco hombre una basura persona,es,triste llegar jajaja altura vida duggan tener mentir gilada venderse importar ensuciar memoria puede defenderse hombre basura persona
239,importa pagar mas por ellas sección que sea verdad estoy pco desesperada por encontrar unas,es,importa pagar seccion verdad desesperada encontrar unas
241,calla pendejo cuando pase jajaja has llorar cojudo,es,calla pendejo pase jajaja llorar cojudo
246,paro llorar,es,paro llorar
249,perdiendo oportunidades por hablar ingles con una depresion,es,perdiendo oportunidades hablar ingles depresion
250,quiero llorar sabia que responder,es,quiero llorar sabia responder
252,hoy primer del ano pude evitar sentirme culpable por sentirme triste,es,primer pude evitar sentirme culpable sentirme triste
254,claramente hice hilo para cuando este triste,es,claramente hice hilo triste
257,cancelo todo hundo depresion,es,cancelo hundo depresion
258,estoy cansada estoy que sigue cansada,es,cansada sigue cansada
259,triste quero parar pensar,es,triste quero parar pensar
260,por eso estamos como estamos los delincuentes tienen derechos resto personas debemos permitir ellos hagan deshagan triste noticia policia puede cumplir sus labores jajaja cabalidad las leyes les respaldan,es,delincuentes derechos resto persona debemos permitir hagan deshagan triste noticia policia puede cumplir labores jajaja cabalidad leyes respaldan
261,jajaja mas gracioso que esos negocios venden hasta madre todo hiper mega costoso aun asi tienen descaro llorar por pagar aseo somos tercer budista eso nadie puede cambiar,es,jajaja gracioso negocios venden madre hiper mega costoso descaro llorar pagar aseo tercer mundista nadie puede cambiar
262,estas nerviosa por show como preparas,es,nerviosa show preparas
264,que raro siente estar modo neutro sientes triste feliz solo estas ahi sin sentir nada,es,raro modo neutro sientes triste feliz solo sentir
265,ayyy maggie mee haces llorar,es,aayyy maggie haces llorar
268,estaba triste pero porque estas fotos,es,triste fotos
272,sigo riendo con esto porque modo defensa para llorar tengo humor roto jajaja,es,sigo riendo modo defensa llorar humor roto jajaja
275,queee manera llorar chics salen lagrimas jshfjss,es,queee manera llorar chic salen lagrimas jshfjss
276,necesidad que abracen fuertemente hasta que comience jajaja llorar suelte mientras lloro diga nada solo abracen maldito comida,es,necesidad abracen fuertemente comience jajaja llorar suelte mientras lloro diga solo abracen maladito covid
278,pirelli esta preocupado porque hijita separo novio numero vaya jajaja saber por numero que,es,tinelli preocupado hijita separo novio numero vaya jajaja saber numero
279,gana con esto todos los trabajamos las plataformas las app queremos libertad nuestro oficio sino fuera facil todos seriamos unos simples empleados dependiendo triste sueldo enriqueciendo jajaja los empresarios frustrando nos jajaja vivir ingreso mensual,es,gana trabajamos plataformas queremos libertad oficio sino facil seriamos simple empleados dependiendo triste sueldo enriqueciendo jajaja empresarios frustrando jajaja vivir ingreso mensual
289,horas llorar por beogmyu chicos estoy super triste,es,horas llorar beogmyu chico super triste
290,tenian cansado sed chupen,es,tenian cansado sjjd chupen
291,vive recolecta creo que sea sufriendo porque masoquista debe sentir bien entonces razonamiento queda vacio realidad puro resentimiento deja expuesto que esa persona sapo otro pozo cuando normal ascenso social por capacidad trabajo,es,vive recoleta creo sufriendo masoquista debe sentir bien entonces razonamiento queda vacio realidad puro resentimiento deja expuesto persona sapo pozo normal ascenso social capacidad trabajo
292,voy jajaja llorar,es,jajaja llorar
299,ansiedad manejo hoy creo que voy jajaja tener salir joda,es,ansiedad manejo creo jajaja tener salir joda
304,estas nervioso tony mira para apoyar su mejilla nen hombro ajena mientras mantiene abrazado,es,nervioso tony mira apoyar mejilla hombro ajena mientras mantiene abrazado
306,nombre triste,es,nombre triste
308,primera hecho llorar como diez veces,es,primera hecho llorar diez veces
314,trabajos personas que aparecen google existen caso triste oficinista jajaja,es,trabajos persona aparecen google existen caso triste oficinista jajaja
315,muy triste lamentable,es,triste lamentable
316,entre comida que aunque pasado sigo estando flojo sin fuerza entre insomnio sin dormir pero nada insomnio noche tras noche asl dia siguiente jajaja trabajar con carga haber dormido una hora dos agotador esto,es,covid aunque pasado sigo flojo fuerza insomnio dormir insomnio noche tras noche siguiente jajaja trabajar carga haber dormido hora agotador
318,que buenos son para entregar estacionamiento vacio por que estacionarse donde esta prohibido fin que,es,buenos entregar estacionamiento vacio estacionarse prohibido
325,triste que ahora todos van jajaja creer que las audiencias son asi arrabales,es,triste ahora jajaja creer audiencias arrabaleras
328,estoy tan cansada del amarillismo contexto que los medios comunicación han dado caso moda hoy aberrante indignante debe hacer justicia pero porque nadie habla del trasfondo situación que esta pasando con saludmental colombia,es,cansada amarillismo contexto medios comunicacion dado caso moda aberrante indignante debe hacer justicia nadie habla trasfondo situacion pasando saludmental colombia
329,queria ser malo aumentar ansiedad jajaja hagas esto,es,queria malo aumentar ansiedad jajaja hagas
331,que triste pone saber que ultimo partido torres poder verlo,es,triste pone saber ultimo partido torres poder verlo
332,que agotada estoy,es,agotada
333,invitación,es,invitacion
336,que ganas llorar,es,ganas llorar
342,increible cantidad cosas que olvido cuando tengo dia ansiedad malo diariamente algo afecta monton pero cuando fuerte como mil momentos fueran borron del recuerdo nada seguro,es,increible cantidad cosas olvido ansiedad malo diariamente afecta monton fuerte momentos borron recuerdo seguro
345,voy jajaja llorar puedo dejar ver,es,jajaja llorar puedo dejar
350,duele tanto poder hacer nada mama siquiera poder llorar hace mal verme jajaja mal,es,duele poder hacer mama siquiera poder llorar hace verme jajaja
353,encuentro bastante triste porque jajaja pesar que ultimamente sentido agusto con ustedes voy jajaja tener que desactivar hacia muy feliz estar por aca pero todo tiene fin igual que este copy mis escritos seguiran aqui gracias por todo quiero bus,es,encuentro bastante triste jajaja pesar ultimamente agusto ustedes jajaja tener desactivar hacia feliz igual copy escritos seguiran aqui gracias quiero
354,porque siento mega cansada dia,es,siento mega cansada
355,triste dia que cuba deja ser ejemplo para mundo,es,triste cuba deja ejemplo mundo
356,zemon jajaja canica entre esta bien meh dante gusta nada como personaje pero como usaron raro dante sus batallas son mis favoritas lugar jajaja eso con actitud pero personaje super vacio una relación amor odio,es,zenon jajaja vanica bien dante gusta personaje usaron raro dante batallas favoritas lugar jajaja actitud personaje super vacio relacion amor odio
357,otro dia fui jajaja comprar con vieja clima estaba tan hermoso posta habia viento estaba nublado que casi largo jajaja llorar calle felicidad,es,jajaja comprar vieja clima hermoso posta habia viento nublado casi largo jajaja llorar calle felicidad
358,siento nerviosa por equipo que hice redes,es,siento nerviosa equipo hice redes
361,divertidisimo llorar toda tarde pasatiempo fav,es,divertidisimo llorar toda tarde pasatiempo
362,exmujer ezequiel caray anuncio que espada medio depresion por separación,es,exmujer ezequiel garay anuncio espana medio depresion separacion
363,este sabado tendre primera partida rol del ano estoy nerviosa lol,es,sabado tendre primera partida nerviosa
366,nagara voy jajaja llorar amo calesita eres una cosa hermosa nckdkxkd,es,naguara jajaja llorar aleskita cosa hermosa nckdkxkd
368,que pobrecita super nerviosa,es,pobrecita super nerviosa
369,dias cuando louis empiece tour voy jajaja llorar tanto dios primer tour encima voy basta,es,dia louis empiece tour jajaja llorar dios primer tour encima basta
372,puto triste que traigan opinas para ser feliz quiero chillido del colibri poco rumba que mueva son del tambor buen son que traigan opinas para darle mejor sabor jajaja que gusta,es,puto triste traigan pinas feliz quiero chillido colibri rumba mueva tambor buen traigan pinas darle mejor sabor jajaja gusta
375,amarra quiere llorar escuchar semejante boludez,es,gamarra quiere llorar escuchar semejante boludez
378,voy jajaja llorar,es,jajaja llorar
381,resto del elenco fluctuaba jugando jajaja ser buenos jajaja ratos para ser todo contrario despues iban dando palos ciego supongo que mirando rating tan triste mimar una historia que principio prometia,es,resto elenco fluctuaba jugando jajaja buenos jajaja ratos contrario despues iban dando palos ciego supongo mirando rating triste mimar historia principio prometia
387,ahora liman por frenar cinco minutos viejo dale estoy enojado triste rato seguramente borracho loco,es,ahora liman frenar cinco minutos viejo dale enojado triste rato seguramente borracho loco
390,llamo vicente estoy muy nerviosa vienen para aca,es,llamo vicenta nerviosa vienen
391,toy triste estoy viendo marginal con nicole espero esperes los ultimos capitulos dejo,es,triste viendo marginal nicole espero esperes ultimos capitulos dejo
392,tambien pasa que pones triste precisamente por esos recuerdos,es,tambien pasa pone triste precisamente recuerdos
394,cuantas veces necesito ver encanto llorar,es,cuantas veces necesito encanto llorar
397,estuvo espectacular ansiosa por que sea manana que muero por ver mas,es,espectacular ansiosa manana muero
398,iria jajaja buscar donde fuera dices que andas triste,es,iria jajaja buscar dice andas triste
401,mention jajaja mario ramirez threat como mil personas hablando malas experiencias hospitales quejas presion excesiva para lactancia sabes pude aguantar mention por matabichos hacerme llorar como una cabrona por circuncidar jajaja,es,mention jajaja mario ramirez thread persona hablando malas experiencias hospitales quejas presion excesiva lactancia sabes pude aguantar mention mamabicho hacerme llorar cabrona circuncisar jajaja
413,amen jajaja esa frase triste ver mas alla obvio,es,amen jajaja frase triste alla obvio
414,una las cosas que calmaba ansiedad roto jajaja jajaja jajaja que hago ahora,es,cosas calmaba ansiedad roto jajaja jajaja jajaja hago ahora
417,que triste que esta river club todo gris nada blanco rojo despintado roto vallas por todos lados todo apagado nada gente cada vez mas lejos socio del club,es,triste river club gris blanco rojo despintado roto vallas lados apagado gente cada lejos socio club
420,anecdota que tengo como perros gatos que cine cuando era peque fui con mama sala estaba vacia unico que estaba aparte nosotras fue seguridad que entraba jajaja cada rato resto peli nosotras solas,es,anecdota perros gatos cine peque mama sala vacia unico aparte seguridad entraba jajaja cada rato resto peli solas
421,voy jajaja dejar llorar toda noche semana,es,jajaja dejar llorar toda noche semana
425,estoy triste ayudarla,es,triste ayudaaa
427,llorar entrenando pasion que pensara gente que gym perdon amigos estoy loca solo soy adulto joven sobreviviendo,es,llorar entrenando pasion pensara gente perdon amigo loca solo adulto joven sobreviviendo
431,dios manera llorar bronca estos dias,es,dios manera llorar bronca dia
432,vivir desesperado pero luego estar echando bromas puede ser parte que nos llevado fracaso personal mientras culpamos mundo por eso,es,vivir desesperado luego echando bromas puede parte llevado fracaso personal mientras culpamos mundo
435,triste dias personas que dan cuenta que peru sigue manteniendo fuerte economicamente jajaja pesar castillo gracias jajaja hecho pasado pregunta cuanto tiempo podremos resistir asi,es,triste dia persona cuenta peru sigue manteniendo fuerte economicamente jajaja pesar castillo gracias jajaja hecho pasado pregunta cuanto tiempo podremos resistir
439,estoy nerviosa hasta chimba pero asado,es,nerviosa chimba asaro
440,gente alguen por favor coma jajaja anita ela esta desesperada,es,gente alguem favor coma jajaja anitta desesperada
442,vimos que tienes insomnio duermete conmigo,es,vimos insomnio duermete conmigo
446,solo eso mire las tribunas atanasio practicamente vacio que falta apoyo los hinchas son unos descarados,es,solo mire tribunas atanasio practicamente vacio falta apoyo hinchas descarados
448,michel tenia ninguna razon para volver jajaja subir video poniendo nerviosa jajaja natasha aun asi hizo audacia del caballero,es,michel tenia ninguna razon volver jajaja subir video poniendo nerviosa jajaja natasha hizo audacia caballero
452,hoy estuve paseo ahumada quede sorprendida por vacio antes pandemia cuando iba estaba dos tres veces mas lleno sera efecto comida alcaldesa otros por ejemplo que hayan ido jajaja otros barrios pero senti mucho mas segura ahora,es,paseo ahumada quede sorprendida vacio pandemia tres veces lleno serum efecto covid alcaldesa ejemplo jajaja barrio sent segura ahora
455,efecto zombie todo dia cansado del comida horrible sera prudente duplicar consumo cafe estos dias para compensar,es,efecto zombie cansado covid horrible serum prudente duplicar consumo cafe dia compensar
456,para que venezuela recupere pasara mucho tiempo socialismo del siglo destruyo pais esta gente espera que robolucion les migajas ponen contentos triste realidad,es,venezuela recupere pasara tiempo sucialismo siglo destruyo pais gente espera robolucion migajas ponen contentos triste realidad
457,acabo ver una foto simona puedo parar llorar nina mas linda,es,acabo foto simona puedo parar llorar nina linda
460,quiero llorar ratito rompio aire sale riñon mas,es,quiero llorar ratito rompio aire sale rinon
462,toca llorar,es,toca llorar
463,nunca voy jajaja entender jajaja gente que les gusta llega jajaja enamorar que otro los trate mal jajaja hablas feo largo jajaja llorar minimo podes gustar,es,nunca jajaja entender jajaja gente gusta llega jajaja enamorar trate jajaja hablas largo jajaja llorar minimo podes gustar
466,prefiero quedarme triste,es,prefiero quedarme triste
468,cmo instala minecraft iphone voy jajaja llorar,es,instala minecraft iphone jajaja llorar
469,incapaz lapso actua se que peor ladron presidente inepto como presidente triste nuestra realidad vamos camino jajaja ser nueva mexico jajaja este ritmo,es,incapaz lasso actua peor ladron presidente inepto presidente triste realidad vamos camino jajaja nueva mexico jajaja ritmo
473,han salido las cosas del rasmus que ansiedad luego pienso van mis amigas que hago quedandome aqui sola,es,salido cosas erasmus ansiedad luego pienso amigas hago quedandome aqui sola
474,estoy cansada harta que jajaja importe tan poco cuidan jajaja las chicas las defienden nunca las ponen como prioridad cuando gracias jajaja ellas come porfavor que pesadilla,es,cansada harta jajaja importe cuidan jajaja chicas defienden nunca ponen prioridad gracias jajaja come porfavor pesadilla
476,ufff estoy muy cansado duele,es,ufff cansado duele
478,estoy triste porque sacado asignatura favorita del cuatrimestre hubiera hecho super feliz sacar minimo notable aqui estoy permitiéndome sentirme triste por eso porque sale del cono,es,triste sacado asignatura favorita cuatrimestre hecho super feliz sacar minimo notable aqui permitiendome sentirme triste sale cono
481,ginseng una planta estimulante china bien conocida que tambien actua sobre sistema nervioso central ginseng panal ginseng incrementa resistencia fisica,es,ginseng planta estimulante china bien conocida tambien actua sistema nervioso central ginseng panax ginseng incrementa resistencia fisica
486,ando muito triste acho que preciso mudar cabello,es,ando muito triste acho preciso mudar cabelo
488,diogenes jajaja lado ahora mismo estres examenes ansiedad era limpio,es,diogenes jajaja lado ahora mismo estres examenes ansiedad limpio
493,estoy triste porque puse jajaja pensar para que hace tour jajaja ser con meet amp greet como antes sea que mis posibilidades abrazarla serian nulas,es,triste puse jajaja pensar hace tour jajaja meet greet posibilidades abrazarla serian nulas
494,que mala memoria falta razonamiento sin entrar detalles cansada tanto adoctrinamiento ciego sordo mudo son unitematicos voy jajaja usar prefijo mono por las dudas ofendan,es,mala memoria falta razonamiento entrar detalles cansada adoctrinamiento ciego sordo mudo unitematicos jajaja usar prefijo mono dudas ofendan
495,quien jesus para constructor jesus piedra principal para jardinero jesus rosa sharon para florista jesus lirio los valles para triste jesus alegria para lector jesus palabra,es,jesus constructor jesus piedra principal jardinero jesus rosa sharon florista jesus lirio valles triste jesus alegria lector jesus palabra
498,chau voy jajaja llorar porque que voy jajaja poder comprarlas,es,chau jajaja llorar jajaja poder comprarlas
501,estoy cansada necesito vacaciones,es,cansada necesito vacaciones
503,pues que has tenido dia triste,es,pues triste
505,parece que tengo ansiedad con depresion deficit atención,es,parece ansiedad depresion deficit atencion
513,mientras los dias pasan mis emociones desaparecen miedo alegria enojo etc siento jajaja cambio poder quiza haya perdido algo esencial para ser humano que esto que pasa por que corazon siente sin vida vacio estoy volviendo tan fuerte saltaba,es,mientras dia pasan emociones desaparecen miedo alegria enojo siento jajaja cambio poder quiza perdido esencial humano pasa corazon vida vacio volviendo fuerte saitama
514,ganas llorar,es,ganas llorar
520,depresion saca fotos,es,depresion saca fotos
522,por tristeza depresion pasa contrario mas hambre digo factor jajaja considerar,es,tristeza depresion pasa contrario hambre digo factor jajaja considerar
529,tengo ataque ansiedad porque estoy arrecha con este peo del peso tengo ataque ansiedad porque hay personas que son peor mierda que habita planeta por eso,es,ataque ansiedad arrecha peso ataque ansiedad persona peor mierda habita planeta
532,recien llego trabajar agotada estoy entre salir jajaja caminar con auriculares despejar clavarme vino dudassss,es,recien llego trabajar agotada salir jajaja caminar auriculare despejar clavarme vino dudasss
533,ansiedad tengo,es,ansiedad
