,Comentarios
35,Llevo dos días encerrar y me estoy hinchando jajaja comer va jajaja llorar 😗
36,"Que triste que mis "" mejores amigas "" sean las redes sociales..."
37,"Oh gente, eu te muito triste! Eu odio atrasar minas contas, me empeño pra pagar tudo no dia certo e jajaja empresa com o salário atrasado faz 2 semanas, eu te tentando no me desesperar mas te cegando no limite 😔🥺😢"
38,Que triste me puso leer eso
39,Sentir ganas de vomitar por tener algunas veces tanta ansiedad es de lo peor😵‍💫
40,amigas estoy nerviosa porq mañana voy jajaja hacer mi primer video y yo hablo muchas boludeces lo único q voy jajaja decir LEYERON ESTE FIC ~
41,Sin llorar era 🥲
42,Quiero llorar de la bronca.
43,isso aqui é triste demas amoral
44,meu pai compro fanta naranja nunca fui triste
45,Toy muy cansada 🥺
46,"Mañana me repongo, hoy quiero comer mucho, estoy muy triste y no importa si rompo el liquid fast,,,, de igual forma lo intentare vomitar, para que no afecte mucho: (, será la última vez lo prometo"
47,"@CDechavanne Je ne sacais mame pas qui c'était... triste de morrir aussi jeune à 37 ans, une vie brisa."
48,"sonreir que tinha robado uma caiga de guiaba de um caminho, triste ter acordado antes de ter comprado jajaja comer"
49,"jajaja gente saudade de tanta coisa, de pessoas, de momentos... Mas nem tudo é de verdade, convivir com jajaja realidad as vezes é dificil, mas é triste se enganar sobre jajaja esencia das pessoas."
50,@MFPerezB en lo de Jey dijo q se iba jajaja desquitar jajaja memo q estuvo todo el momento haciendo la seña del beso re desesperada
51,@yS2tata Meu deus que triste KSKSKSKSKSKSKSKSKKSKSKSKSKS
52,basta no m importa yo no voy quiero llorar
53,@PedroScooby Ou ADM segue aí te cansada pisos d TEAM SCOOBBBY
54,voy jajaja llorar dios
55,"@vivamariana2 Pode ser do sedativo. Eu to muito cansada mas tom nao dormi nada.. se amanda eu n acordar melhor, vou fazer o teste"
56,mmm to tao triste
57,ai eu so vale de triste
58,"@dannegreiros Muito obrigado mano, eu te bem triste, mas vai ter uma próxima"
59,@valeriasierram_ Mk me lo estoy viendo y Justo iba jajaja poner esto no sabes lo que necesitaba escuchar jajaja ese man me puse jajaja llorar
60,"Toy triste, toy sola y tengo frío q combinación de mierda"
61,"Lo bueno de los fanaticos del home office es que no van jajaja la oficina y por ende esta vacia. Casi como alquilar un espacio para mi sola, con aire, mobiliario y comida de"
62,só fui triste quando vi ele tocando que compro uma moto ex em 40 min
63,"Pra pirar meu dia, alim desea depresivo, alim da merda fallando mentira de mim, aí vai e minha me tem uma convulso, eu fico desesperada chocando"
64,"estou extremamente cansada mentalmente e fisicamente, boa noite jajaja todos"
65,Je me sens triste jajaja ’ ai besoin de soit: une nouvelle figurines Miku ou: un tatuaje. jajaja ’ ai l ’ argent pour: aun
66,"Hoy estoy pasando por una etapa de depresión muy dura y lo mejor que pude hacer para consolarlo fue hacer música (perdon por la calidad del audio, no es la mejor)"
67,te extraño persona q me llamaba siempre q me sentía triste
68,"Que triste es estar tanto tiempo esperando que seas conmigo como yo lo fui contigo, y que quieras hacerlo ya que es demasiado tarde … bro ábrete al ya me canse"
69,me reste plus que deux bouteilles et demi de lait c triste mar d a va pas trop me norris que de a et de pain mais a part trop vite
70,Lo NERVIOSA que me pone la gente lenta para todo no lo puedo EXPLICAR con palabras
71,Eu fico tío triste quando sinto que dixie alguém maravilloso mal por conta que sou uma ogra
72,@nictecruzc Nunca se deja de llorar 😞
73,PARØ VELHO EJ TO MT TRISTE
74,"Bicho salió positivo jajaja Covid, la primera vez que le dió casi lo perdemos. 😭 Mi ansiedad está al 10000."
75,"Llegue jajaja un nivel de hartazgo cada vez que voy jajaja la cooper y es, si hay mil personas en la góndola que necesito ir, voy jajaja otras hasta que este vacío. Tardó más? Si pero mi paciencia me lo agradece ~"
76,Eu estou tío ansiosa pra amante 🥺
77,"@ZoehHans Ataa, dique preocupado, era o de tweet de algum rpg que eu via isso"
78,Me rehuso jajaja mirar otro tinto que me haga llorar
79,jajaja dica é colocar música triste para ficar ainda mais triste
80,@IUfazendeira to cansado jajaja web diva simplemente cansado só no vou chocar porque vou gastar minha sacude mental mais essa empresa jajaja foi no limite jajaja estou de saco chelo e os links no fazer mais nada cade os caminho gente
81,"ay no, si sanju no viene neta me voy jajaja poner jajaja llorar"
82,"no puedo creer lo gorda q estoy, quiero llorar mares"
83,"ya se le esta haciendo costumbre dar dos besitos, estoy triste 💔"
84,feliz pq ya puedo escuchar jajaja harry styles sin llorar
85,"Tô cansada de ver os astrólogos fallando de amor, que o co da puta que parió vai voltar, eu quero ficar é rica e no trauma por alguém que no gusta de mim"
86,@PedroScooby Ou ADM segue aí te cansada pisos c TEAM SCOOBBBY
87,ninguém era triste na época que o DJ enrique de perra compro uma moto
88,"Dia triste pra quem trabaja em caias, amanda no é feriado 😥"
89,Mí mamá no para de llorar por mí vista 💔 señora no es su culparla
90,aldkkskd bueno jajaja llorar mientras escucho claramente
91,Quiero llorar
92,Cuerpo ansioso que arde.
93,que triste que es la vida
94,@doingoode ansiosa
95,"@meupaiseursal @CanalMyNews Todos esto com essa "" Narrativa "", parece que Ciro no existe, no tem um prometo, no tem um Livro do seu prometo, triste realidad de um povo muito maloso, que insiste em compara Ciro aos demas, tudo marina do mmm saco, Ciro é o único diferenciado, na vid Ciro e único em tudo"
96,"Ta madre, yo sabia que iba jajaja llorar con el ultimo de After life, pero no de esta manera, que pedazo de serie por favor!............... te amo @rickygervais"
97,triste de amor por eles
98,voy jajaja estar con horario topado y sky mi escape de la realidad. voy jajaja llorar
99,"@Artorias_prime Aliás muito boa mas agora te lindo jajaja run do Moon Knight de 2021 pq ela é mais curta mas dos vou voltar pra essa de 2006, o Moon Knight é mó janeiro triste eu no ter conocido ele antes"
100,@PedroScooby Ou ADM segue aí te cansada pisos b TEAM SCOOBBBY
101,Tô me sentido MT triste ha
102,@vitormizaelmh @a_nalet KKKKKKKKK Tô ansiosa pro deshecho
103,"@navi2004vcf Mi hijo Pablo, ha ido hoy con un amigo, hacía año y medio que no iba, me ha dicho tus mismas palabras, desde luego tu y yo y otros pocos más que conocemos podemos tener la conciencia tranquila, pero es muy triste y no me sacia, necesitamos tener éxito en nuestra lucha, SEGUIMOS💪"
104,"Esto es de lo mas triste jajaja lo que puede llegar una sociedad, olvidar los errores del pasado y dejar que por los intereses de unos pocos volvamos jajaja cometerlos."
105,"Nossa nossa nossa, meu gato no tá legal e eu te desesperada. É lógico que eu estou em contato directo com jajaja veterinaria, mas eu no consigo no estar loca preocupada aqui."
106,dique o dia todo ansiosa esperando o jugo 21: 30 e agora tem que esperar mais pq o estudio tá sem energia 🤡
107,"@arthurpicoli 2 anos de Pandemia, jajaja palabra mais falda Empatia... É triste ver como o ser humano sente prayer em disminuir, atacar, fazer mal. Como Educadora estou muito preocupada, pq so esses valores que fossas crianza terco como princípios 🥺"
108,Estoy cansada de aguantar y aguantar
109,"@CarlosLoret Date una sobada de vapor y no la hagas más cansada, si de algo está la gente hasta la madre, es del COVID."
110,Ansiosa p ver jade pico amante
111,@Jaxmik te hice llorar
112,motivo: te triste
113,@a_smellycat_ Kkkkkkkkkkkkkkkk as vas é triste mmm
114,"palmeras tá na semifinal, nunca fui triste!!!!!"
115,@wonugame Eu to TRISTE
116,@Libreta_Memera Triste historia 🤧
117,"@lizethselene_ Com pregunta, cansada e derrotada ok"
118,@Copinha triste
119,¿Este fiscal fue al que le estaban echando flores? En mi opinión sí están dejando un vacío procesal.
120,"hm n comi mío bem hoje, me sinto triste ar"
121,Estou ansiosa para saber quem vai ser meu motivo para ir para aula todo dia #faleitobemmal
122,cansado de estar en esta casa
123,Pq me haces llorar? si de cualquier manera vas jajaja desaparecer
124,Me preguntó que por qué la cara Le dije que estaba cansada Pero no le dije de qué Y asumió que por el trabajo
125,"Hoy no hice directo matutino porque quería grinder, y me da muchísima impotencia porque he tenido una mala suerte flipante, trolls, gente que no habla, que insulta... Y mi paciencia tiene un límite Sinceramente muy triste 😔"
126,"Tiene 5 años y 3 meses, y hoy Simón me mordió la nariz … no puedo dejar de llorar, jamás me había atacado ni de broma. Además obvio lo regañe horrible y puso cara de tragedia …"
127,cara to tao ansiosa de vid
128,Me siento ansioso
129,Cómo me está comiendo la cabeza la ansiedad y los ataques de pánico
130,"@alvesmimar3 Meus sinceros sentimentos. Deus conceda jajaja toda jajaja família, jajaja serenidad e o entendimiento necesário para suportar perca tío triste e precoces. Grande abrazo"
131,@PedroScooby Ou ADM segue aí te cansada pisos TEAM SCOOBBBY jajaja
132,amante sai jajaja it de riverdale na neelix nunca fui triste
133,"Me estoy atragantando con los chinitos pehuamar, me podía la ansiedad y Martín me trajo 💖"
134,voy jajaja releer esta obra de arte porque estoy muy triste lt; de
135,"La ansiedad no me deja dormir ni comer bien, necesito estar mudada ya de"
136,ansiosa pra sp x cruzeiros más jajaja falta de futbol me fazendo torcer pra cocina
137,Triste
138,@castelabranca Triste @OrientalPorta.. podia sobrar mais né 🤣🤣🤣🤣
139,todo dia um arrobado no tik tok apostando vídeos sobre o placentero e fazendo eu me sentir extremamente triste pelo parque no existir mais
140,"una de la mañana y hemos acabado el trabajo de proud, no se si reir o llorar, se me ha caído el wifi en el peor momento 💔💔💔"
141,"eu sou uma pessoas que pensa demas e pra pirar, eu sou ansiosa, entro se voce no me der uma esposa, eu vou inventar uma"
142,"Esta mañana llore al ver jajaja mis bebés abrazar jajaja su hermano que no veían hace 3 años, y acabe de llorar después de ver el vídeo donde le dan la sorpresa jajaja la mamá, definitivamente LA FAMILIA ES ESE LAZO QUE NOS COMPLETA ❤️❤️ @ClauDanyB @Berdejo_ma las amoo❤️"
143,"Fisicamente cansada, psicológicamente escotada"
144,Cansada disso tudo já 🤦🏽‍♀️😓
145,Faaaaa loco @rickygervais #Afterlife3 me hiciste llorar con de todo y eso que no termine de ver la serie.
146,Feliz pela tour e triste pq moro long e sou poli. Harry tu me paga homi #HarryStyles #LoveOnTour2022
147,"PC y psi [ESP] 🥵🥺REPITAMOS UNA VEZ MAS SOLO UNA 👉👈🥺💕 THE LAST OF US 2! sr,! comandos.! redes 🥳🌌🪐 ven sonriamos mas y dejemos de llorar @streamingrow @TwitchBuds @twitchpr0mo twitch #TwitchAffilate #TwitchPartner 😂😎🤪🥳"
148,@lizethselene_ Sinceramente estou triste
149,"me puse triste, Pato poné Pensamientos"
150,Triste jajaja vida da pessoas q tem uma morena com cara de brava que queria comer ela e bater nena: c
151,Me puse triste y al final me dio mucha ternura ajsjshsk
152,indo vivir musica triste
153,"@Daniel_Souto_M @fguscs @phsantos Relmente intrigante debate com um cachorro preocupado com o socialismo que nunca paso perto de girar os problemas que temos aqui no pais, todos grados pelo capitalismo."
154,gatinha triste
155,"@maxxxz70 Si, muy triste, hace 1 semana, si no me equivoco. Sufría de depresión"
156,@mackiie__ Triste jajaja vida
157,@badaberde jajaja galera no usaba. Triste. Se eu fosse iria reinar todos os dias de manos antes do povo acordar
158,"fin uma asignatura de libro num sebo. preenchi um formulario, e eles veo me enviar um libro. e eu to ansiosa pra saber o que é!"
159,O plot é tío interessante. Acho q vai entregar bem se derek uma chance. Não sou fe do Krist mas te ansiosa
160,"@lucky_mon Si es depresión media o profunda consulta jajaja un psiquiatra, si es leve con unos antidepresivos que venden sin receta la vences."
161,La ansiedad que he tenido hoy no se la deseo jajaja nadie che
162,@CeSanz1 Sí Llevamos 7 años con el tremendo corrupto que fue Nisman y la justicia lo cajones para que los periodistas pagos y las lacras del PRO lo descongelen o mas de 20 del correo estás preocupado por esto? Uds tambien son lacras y no es justo que no se los diga
163,@v3nusus Triste
164,Estou ansiosa pra ler.
165,"@SerginhoVasco @ph_caixeiro @BlogDoGarone Claro. O cuestionamiento, é que jajaja torcida esta tío desesperada que parece que nada no Vasco dá certo. jajaja nossa base dá certo, mas claro como em denham club de tonta, jajaja base vai virar titular ou se firmar no time. Mas long de ser terra arrasada."
166,"No tengo weed hace días, que triste 😞"
167,scar do nada eu fico ansiosa 🤨
168,assim como triste
169,de todas formas hoy me tocaba llorar
170,"@lubirenc No les des ese poder amiga, hacelos llorar vos"
171,"HAY OPOSICION EN VZLA, NO ROTUNDAMENTE NO, NI X PARTE DE LOS PARTIDOS POLITICOS ASI COMO TAMPOCO D PARTE DE LA CIUDADANIA Y ESTO ULTIMO ES LO MAS TRISTE D TODO, ALGUNOS CREEN Q ESTAMOS BIEN, UNA BURBUJA FICTICIA, Q CUANDO REVIENTE, TODOS CAEREMOS POR IGUAL....."
172,"@tocqweb Brasil, um dos mayores productores de alimentos do mundo, mitos brisa por sobras de osso é sé de gatinha. E ai? Preocupado com jajaja casa do vikingo?"
173,@Esa_Colorina Esta justo delante del sitio vacio. De hecho jajaja primera vista tambien pense que era estafa. Después vi que las cabañas estaban justo adelante.
174,se um dia fui triste n me libro
175,m puse triste 😂😂😂 chao
176,@PedroScooby Ou ADM segue aí te cansada pisos TEAM SCOOBBBY
177,"Tô mais cansada hoje, que o jurídico do ashtray"
178,Neta me sorprende mucho como tengo gente tan chida en mi vida que se preocupa más por mí que mi familia nuclear. Quiero llorar mucho.
179,and te triste coloco um hmm e pronto nunca fui triste
180,Ansiosa 🤯
181,"triste, pq no vou ver nem o Harry e nem o Louis tío cedo, talvez na próxima tour"
182,"jajaja gente vai ter jajaja sofia usando vestido azul, nunca fui triste!"
183,Ansiedad no vuelvas por favor
184,Hoje eu te triste pq no tenho dente de vampira
185,"aí que verona alheña por, parece desesperada pop"
186,eu amo léo pq fales q tava triste xoxo cadena e ele só aparece aqui mandando me arrugar pra me distraer
187,"@KaremGloria154 Muy triste y lamentable, el tema más peligroso es como si nos estuviéramos acostumbrando jajaja estas muertes y debieramos estar todos remando para el mismo lado, gobierno, oposición, prensa, uniformados y ciudadanía. Es muy triste"
188,Voy jajaja llorar si no se me arregla en 30 minutos
189,"Quiero llorar cada vez que veo algo como esto, TODOS LOS DÍAS me peleo con todos los que queman, y dejan sus basuras (botellas de vidrio) en la calle, pero no hay caso la gente no entiendeme."
190,"@JanainaDoBrasil Amada desesperada, já acerto com @AbrahamWeint? Segundo ele, va no gana nem para Estadual..."
191,"Tô com 7 plantas na minha sala, nunca fui triste"
192,"Tienes algo? Si, depresión."
193,@chaveslivi muito triste ser gado
194,Me gustas pero me da ansiedad estar esperando tu mensaje
195,meu deus te muito ansiosa
196,to tao cansado
197,"Madurar es darse cuenta de que todos se drogan, tienen depresión, ansiedad yo deudas 😖"
198,"~ Orra, triste essa notícia da morte do Gaspard Ulliel, o cara acabo de gravar uma série do MCU e nem ciego jajaja ver ela desmontar."
199,@drewmitudo duda to triste 19 dias sem ela
200,@_otbxprfctnow_ Llorar aire
201,"cansado, porél sigo firme porque sei que Deus tem um propósito pra mim de"
202,@halfemptygirrl Tão triste estou. Mas sentimento é esse mesmo: desolada
203,"@Lelerocha_27 parece que no vai ter uma música ruim né, mas essa e abajo emocional eu espero ansiosa"
204,@placahistoria Só história triste aí
205,triste
206,amante de manos jajaja jade entra no bob nunca fui triste
207,@Matias92__ @pardopatita Porqué hemos sido víctimas de VIF y mi hija nunca ha querido verlo. Es triste que no vean realmente la mayoría por el derecho de los pequeños
208,Quiero llorar 10 días
209,fin jajaja tren da abuela nunca fui triste
210,"@mrmisteryradio Diras que esto es triste, e incluso hasta muy mal. Yo te digo que lo es, pero es porque asi queriamos que fuese. Oohhh triste humanidad."
211,Voy jajaja llorar
212,Hoy me siento mega cansada
213,O que me deiva triste é que eles no podem aceitar porque pode contar como soborno DESDE QUANDO DAR AGUA PRA ALGUÉM É SUBORNO
214,"Cerrar podrá mis ojos la postrera sombra que me llevare al blanco día y podrá desatar esta alma mía hora jajaja su afán ansioso lisonjera. Mas no, demora parte en la ribera dejará la memoria en donde ardía, nadar sabe mi llama la agua fría, y perder el respeto jajaja ley severa"
215,Igual debio haberse sorprendido ok cuando vino harry la primera vez taba sentada con ella en el liceo y me puse jajaja llorar KSKDKFKFKF pucha isal iria pero no hay plata de
216,La guacamayo se va jajaja arrancar todas las plumas de la ansiedad que tiene la pobre. #SecretGala1
217,"@Nathalius__ É triste, mas é jajaja realidad."
218,"La verdad, es que es un poco triste que no tenga tanto alcancen en twitch como me gustaría, no pido tener 100 personas viéndome, con 10 me conformo y soy feliz para siempre, que haya interacción en el chat y demás. No pido ser el mejor, pero si pasarlo bien con mi hobby"
219,ainda nem de mesa noite e eu já te triste (?)
220,"Que triste suelen ser jajaja veces las noticas que el fútbol nos puede dejar, El Chivito ha sido otra “VICTIMA ” más de las perreras en la cancha. Ojalá, su fractura, no sea tan grave. Pobre Joseph 😓⚽️"
221,jajaja la mierda me hice la re ranchera hoy entrenando y siendo las nueve ya me quiero ir jajaja mimir sin comer de lo cansada q stop xd
222,"tudo bem estar cansado jajaja), voce no precisa ser forte o tempo todo."
223,yo: ninguna canción m pone triste jajsjajsksk *******APARECE ESTÁ CANCIÓN******
224,""" 🟠 El triste final de Vladimir Komarov, el primer humano que murió en una misión espacial """
225,@cgmira @LNcampo Gracias Cristian! Triste realidad!
226,Kailaine ta me dejando preocupada! 😣
227,@lizethselene_ Cansada e com calor
228,Será q meus amigos veo fazer uma festa de aniversário sorpresa pra mim? Dois anos sem festiva te triste com isso já
229,"Joder es llorar y llorar sin parar, y lo más jodido es que me vengan diciendo que deje de dar pena y llamar la atención. Yo ya no sé paso de todo quiero desaparecer de una puta vez."
230,De solo recordar cómo hizo llorar jajaja muchos con ese comentario 🤭
231,"@SantanaYeray Madre mía, ya te digo, tener sangre de unicornio es muuy cansado 🤦"
232,@horanO_o fer de mierda te gusta hacerme llorar
233,"Tengo mucha hambre, y tantito de ansiedad por el viernes. No quiero saber bien qué va jajaja suceder y lo único que puedo hacer ahora para pasar el hambre y el miedo es dormir."
234,"xia dice que soy como xiao de kenshin por depresiva, q lindo"
235,"@StellaRICCI10 No me hubiera alejado del amor de mi vida, no me hubiera no preocupado por no aprender jajaja manejar y no hubiera aguantado 12 años en pareja al nabo del padre de mi hija."
236,"@pabloduggan Que triste llegar jajaja esta altura de tu vida Duggan y tener que mentir para la gilada, venderse sin importar ensuciar la memoria de quién no puede defenderse, sos poco hombre y una basura de persona"
237,"@pires_loh Triste ok, agora deshidratada no dá né hahahahahaha"
238,@SouzWes @cansada_amora estou imposibilitado no momento
239,"@giselaonedirec no me importa pagar más por ellas, y la sección que sea, la verdad estoy un pco desesperada por encontrar unas"
240,"@maluiribarrem Aí eu acho é, fico echando que é as pessoas se enviando p desechar na minha cara, ainda mais quando tem vários envios kkkkkkk é triste p curioso"
241,@vroshilov @jcarreraandrade Calla pendejo.. cuando te pase jajaja ti has de llorar..COJUDO
242,O mais triste é ter que explicar pra armando dedos de 2 anos de pandemia que jajaja vagina no te deiva inmune do comida
243,@oficialmussi ADM ME SEGUE TÔ CANSADO DE PEDIR jajaja UM MILHÃO DO MUSSI
244,"Amo minha putica, assim como amo minha girafa logra, mas por favor no resuma elas jajaja uma coisa tío triste como macho, elas no tem culpa se eles so cobardes, sangue sigas, e se esconder atrás pessoas poderosas que no se importa de jugar o nome de días mujeres na boca do lobo"
245,Comi um dog agora q tava tío recreado q dique até triste
246,No paro de llorar
247,"Sabe aquela mae/pai que vive dicendo que tá cansado mesmo quando supuestamente no faz nada? Além dos cuidados, entender, NOSSO CÉREBRO NÃO PARA UM MINUTO. O tempo todo preparado pra resolver um problema. Acolham sempre!"
248,@chicoitapema @zehdeabreu Triste episódio!! O Reitor era para estar vivo!!! …
249,@_axtone y yo perdiendo oportunidades por no hablar inglés con una depresión de 1000 😢
250,"Quiero llorar, no sabía que responder 🤥"
251,Gente o about do @pedrohpereira tá bajado te amando noooooo ansiosa pra ver ele pronto 100% e funcionando 😭❤🙌🛐
252,Hoy es el primer 19 del año y no pude evitar sentirme culpable por no sentirme triste.
253,Triste
254,claramente hice el hilo para cuando esté triste
255,MO SABEN CUANTO ODIO QUE 🚘 MENCIONE QUE KE HICIERON BULLYING ME LONE TAN TRISTE
256,me voy jajaja poner jajaja llorar 😭😭😭😭😭
257,y si y si cancelo todo y me hundo en la depresión
258,"No estoy cansada, estoy lo que sigue de cansada."
259,te mt triste só quero parar de pensar
260,"@luisantonio_r @teleamazonasec Por eso estamos cómo estamos, x los delincuentes tienen derechos ” y el resto de personas debemos permitir q ellos hagan y deshagan, q triste noticia, la policía no puede cumplir sus labores jajaja cabalidad si las leyes no les respaldan"
261,@freddydurangil jajaja lo más gracioso es que esos negocios de 22m2 venden hasta la madre y todo hiper mega costoso y aún así tienen el descaro de llorar por pagar el aseo... Somos tercer budista y eso nadie lo puede cambiar
262,@lizethselene_ estás nerviosa por el show? cómo te preparás?
263,@tantotupiassu jajaja humanidad realmente está diente... que triste
264,"Que raro se siente estar en modo neutro, no te sientes ni triste, ni Feliz, solo estas ahí sin sentir nada."
265,@jdismylifesaver Aayyy maggie mee haces llorar
266,"Eu te tío triste, só de pensar que o HS vai vir pra cá e eu no vou ter jajaja chance de ver ele, no vou ter jajaja chance de ver de perto uma obra de arte como ele más"
267,te tío ansiosa p classe jajaja
268,estaba triste pero ya no porque vi estas fotos 😍
269,@Theh4rry_ Se um dia eu fui triste.. eu libro. Mas eu estou feliz!!!
270,estou ansioso para amante que ódio
271,GRACIAS POR SER AQUELLA PUTA NIÑA DE LA ESCUELA SIEMPRE CHICAS DE VERDAD MUCHAS GRACIAS POR LO DE HOY VOY jajaja LLORAR
272,Me sigo riendo con esto porque es mi modo de defensa para no llorar y tengo el humor roto jajaja
273,fico tao triste quando to ganando peso e acontece algo q mete com minha cabecita e eu saco dos 50 pros 45 em 1 semana
274,"E os caminas que vem pujar papo comigo supongo que eu sea burra, porque na cabeza transfóbica deles eu sou rasa e superficial, alim de ser extremamente desesperada sexualmente … Depois diem que sou grosso e metida de grasa."
275,queee manera de llorar chics no me salen lagrimas ya jshfjss
276,"La necesidad de que me abracen fuertemente, hasta que comience jajaja llorar y no me suelte mientras lloro y no me diga nada solo me abracen 😭 MALADITO COVID 🤧"
277,é muito triste jajaja vida de no ter pito
278,@Guadi_Pelosista Tinelli esta preocupado porque su hijita se separo de su novio numero... vaya jajaja saber por el numero que va.
279,"@Cutchile @Camara_cl Q gana ud con esto? Todos los q trabajamos en las plataformas d las app queremos libertad en nuestro oficio, sino fuera fácil todos seríamos unos simples empleados dependiendo de un triste sueldo enriqueciendo jajaja los empresarios y frustrando nos jajaja vivir de un ingreso MENSUAL."
280,estou triste estou triste
281,jajaja rutina está terriblemente triste
282,"jajaja gente sabe que tá cansado é quando em uma cuarta feria, tomando 6 barrigudinhas, fijamos bebimos e pintando de sono"
283,"se ela nao quer nada se ta cansada comigo, pq ela simplemente nao para de fiar comigo"
284,Ansiosa pra ver Pablo e Vitor Bueno se despedido também 😌🙌🏻
285,@gooofoot @SBrother27 @IsaNahilaS @SamirDao @Clown_Triste_13 @Fred_Sgma974 Tout est internet 2020-2022 pour x raison Il est internet d'interfiere mai 68
286,@_juliagtt meu deus NINGUEM era triste @CarolinaKahler @Claramsimas
287,Que triste por Alter do Chão. O ser humano no merece esse planeta.
288,Odeio me sentir tío exausta e cansada assim física e mentalmente
289,horas de llorar por beogmyu chicos estoy super triste v????
290,@wallsxhshq ya me tenían cansado sed q la chupen
291,"@MarinaVolpe12 @barrios_ja Si vive en Recoleta no creo que sea sufriendo o porque es masoquista, se debe sentir bien y entonces tu razonamiento queda vacío de realidad, es puro resentimiento y deja expuesto que ESA persona es sapo de otro pozo, cuando es normal el ascenso social por capacidad y trabajo"
292,@dracujay voy jajaja llorar
293,"Poxa eu juro que to mutando para que as coisas tudo dá certo mais to extremamente cansada, sozin mais n abandonada 🙏🏼👩‍👧❤️"
294,Se eu tomar bolo dev vou ficar triste pra caracho
295,meu ano vai ser bom ou ruim dependiendo do final de bad buddy se for feliz ou triste
296,me iba jajaja poner cansado pero que divertido ésto
297,ansiosa p asistir bob d novo
298,te triste que vou ter que dormir essa madrugada pq vire … queria ficar acordado
299,"La ansiedad q manejo hoy, creo que voy jajaja tener q salir de joda"
300,"eu to muito muito triste, to desde o cometo do banner do xiao tirando locamente todos os dias, formando primo gema todo dia pra no conseguir ele … agora no sei se vou usar o garantido no daddy geo, na yae, no acato que no foi confirmado ou guardo pra um serun da lee."
301,triste: (
302,"Mano, tava parando pra pensar, e eu to cansada de cuidar dos outros, sempre que as pessoas esto mal, eu cuido, mas quando eu to mal, quem cuida de mimo?"
303,triste ser jajaja amo sem talento
304,@IronIlluminati Estas nervioso Tony le mira para apoyar su mejilla nen el hombro ajena mientras le mantiene abrazado -
305,"Muito cansado, sinceramente"
306,"@iHSDLT95 tu nombre yo, q triste"
307,"sou o solzinho da tanta, nunca fui triste"
308,@leguerrer2 Ya la primera me ha hecho llorar como diez veces
309,como pode uma pessoas ser tao subcelebridade desesperada
310,"@DelGrantz @LipePaes91 @MicaliBruno Quero ver os efectos do monopolio da Microsoft, espero que o PS5 sea o último console da Sony, e que o Xbox domine de um jeito avasallador Quero ver si continua 200 jugos jajaja 45 erais por más kkkkkkkkkkk Estou triste porque isso é inevitável Mas vou me divertir no futuro."
311,"Eu fico tío triste por ela ficar pasando por isso, de verdade"
